date,efa_block,product,avail_gbp_mw_h
2025-01-05,5,DMH,0.804
2025-01-05,5,DRL,4.462
2025-01-05,5,DRH,7.182
2025-01-05,6,DCL,1.688
2025-01-05,6,DCH,1.101
2025-01-05,6,DML,3.973
2025-01-05,6,DMH,1.671
2025-01-05,6,DRL,2.38
2025-01-05,6,DRH,1.718
2025-01-06,1,DCL,2.541
2025-01-06,1,DCH,1.112
2025-01-06,1,DML,1.656
2025-01-06,1,DMH,0.799
2025-01-06,1,DRL,3.716
2025-01-06,1,DRH,2.24
2025-01-06,2,DCL,2.671
2025-01-06,2,DCH,1.693
2025-01-06,2,DML,0.723
2025-01-06,2,DMH,0.325
2025-01-06,2,DRL,3.804
2025-01-06,2,DRH,1.566
2025-01-06,3,DCL,1.174
2025-01-06,3,DCH,1.978
2025-01-06,3,DML,4.548
2025-01-06,3,DMH,1.549
2025-01-06,3,DRL,2.747
2025-01-06,3,DRH,2.829
2025-01-06,4,DCL,2.14
2025-01-06,4,DCH,1.841
2025-01-06,4,DML,3.664
2025-01-06,4,DMH,1.303
2025-01-06,4,DRL,5.289
2025-01-06,4,DRH,1.972
2025-01-06,5,DCL,2.914
2025-01-06,5,DCH,0.81
2025-01-06,5,DML,4.183
2025-01-06,5,DMH,1.069
2025-01-06,5,DRL,5.865
2025-01-06,5,DRH,4.687
2025-01-06,6,DCL,3.782
2025-01-06,6,DCH,2.774
2025-01-06,6,DML,3.674
2025-01-06,6,DMH,0.682
2025-01-06,6,DRL,7.235
2025-01-06,6,DRH,1.436
2025-01-07,1,DCL,4.722
2025-01-07,1,DCH,1.323
2025-01-07,1,DML,2.805
2025-01-07,1,DMH,0.877
2025-01-07,1,DRL,3.914
2025-01-07,1,DRH,1.896
2025-01-07,2,DCL,2.584
2025-01-07,2,DCH,1.154
2025-01-07,2,DML,5.791
2025-01-07,2,DMH,0.672
2025-01-07,2,DRL,4.099
2025-01-07,2,DRH,2.682
2025-01-07,3,DCL,3.815
2025-01-07,3,DCH,2.057
2025-01-07,3,DML,2.898
2025-01-07,3,DMH,2.107
2025-01-07,3,DRL,4.069
2025-01-07,3,DRH,1.712
2025-01-07,4,DCL,3.119
2025-01-07,4,DCH,1.596
2025-01-07,4,DML,2.659
2025-01-07,4,DMH,1.799
2025-01-07,4,DRL,3.105
2025-01-07,4,DRH,1.312
2025-01-07,5,DCL,4.326
2025-01-07,5,DCH,1.401
2025-01-07,5,DML,7.891
2025-01-07,5,DMH,2.569
2025-01-07,5,DRL,9.624
2025-01-07,5,DRH,6.285
2025-01-07,6,DCL,3.544
2025-01-07,6,DCH,0.896
2025-01-07,6,DML,3.57
2025-01-07,6,DMH,1.408
2025-01-07,6,DRL,6.633
2025-01-07,6,DRH,3.184
2025-01-08,1,DCL,8.59
2025-01-08,1,DCH,0.898
2025-01-08,1,DML,2.178
2025-01-08,1,DMH,2.483
2025-01-08,1,DRL,1.773
2025-01-08,1,DRH,3.005
2025-01-08,2,DCL,4.312
2025-01-08,2,DCH,0.983
2025-01-08,2,DML,1.991
2025-01-08,2,DMH,1.163
2025-01-08,2,DRL,2.043
2025-01-08,2,DRH,2.277
2025-01-08,3,DCL,2.579
2025-01-08,3,DCH,1.102
2025-01-08,3,DML,3.239
2025-01-08,3,DMH,0.743
2025-01-08,3,DRL,3.477
2025-01-08,3,DRH,2.115
2025-01-08,4,DCL,3.466
2025-01-08,4,DCH,0.827
2025-01-08,4,DML,1.932
2025-01-08,4,DMH,0.848
2025-01-08,4,DRL,3.805
2025-01-08,4,DRH,4.352
2025-01-08,5,DCL,3.568
2025-01-08,5,DCH,2.288
2025-01-08,5,DML,1.492
2025-01-08,5,DMH,2.081
2025-01-08,5,DRL,10.415
2025-01-08,5,DRH,2.93
2025-01-08,6,DCL,4.346
2025-01-08,6,DCH,2.518
2025-01-08,6,DML,6.015
2025-01-08,6,DMH,1.371
2025-01-08,6,DRL,7.843
2025-01-08,6,DRH,1.74
2025-01-09,1,DCL,1.956
2025-01-09,1,DCH,1.657
2025-01-09,1,DML,1.45
2025-01-09,1,DMH,0.411
2025-01-09,1,DRL,6.32
2025-01-09,1,DRH,3.212
2025-01-09,2,DCL,2.154
2025-01-09,2,DCH,0.467
2025-01-09,2,DML,2.036
2025-01-09,2,DMH,1.499
2025-01-09,2,DRL,1.825
2025-01-09,2,DRH,2.165
2025-01-09,3,DCL,5.259
2025-01-09,3,DCH,1.028
2025-01-09,3,DML,1.747
2025-01-09,3,DMH,0.452
2025-01-09,3,DRL,10.258
2025-01-09,3,DRH,3.057
2025-01-09,4,DCL,13.986
2025-01-09,4,DCH,1.979
2025-01-09,4,DML,2.178
2025-01-09,4,DMH,1.576
2025-01-09,4,DRL,2.862
2025-01-09,4,DRH,4.769
2025-01-09,5,DCL,5.463
2025-01-09,5,DCH,1.685
2025-01-09,5,DML,3.291
2025-01-09,5,DMH,3.925
2025-01-09,5,DRL,6.741
2025-01-09,5,DRH,2.276
2025-01-09,6,DCL,2.987
2025-01-09,6,DCH,1.448
2025-01-09,6,DML,4.907
2025-01-09,6,DMH,2.127
2025-01-09,6,DRL,3.195
2025-01-09,6,DRH,1.612
2025-01-10,1,DCL,1.879
2025-01-10,1,DCH,0.763
2025-01-10,1,DML,2.117
2025-01-10,1,DMH,0.797
2025-01-10,1,DRL,2.149
2025-01-10,1,DRH,1.442
2025-01-10,2,DCL,2.856
2025-01-10,2,DCH,0.908
2025-01-10,2,DML,1.928
2025-01-10,2,DMH,0.994
2025-01-10,2,DRL,4.13
2025-01-10,2,DRH,4.445
2025-01-10,3,DCL,2.197
2025-01-10,3,DCH,1.343
2025-01-10,3,DML,1.044
2025-01-10,3,DMH,0.599
2025-01-10,3,DRL,7.214
2025-01-10,3,DRH,1.603
2025-01-10,4,DCL,2.383
2025-01-10,4,DCH,1.619
2025-01-10,4,DML,4.462
2025-01-10,4,DMH,2.32
2025-01-10,4,DRL,3.404
2025-01-10,4,DRH,3.593
2025-01-10,5,DCL,7.554
2025-01-10,5,DCH,1.353
2025-01-10,5,DML,3.175
2025-01-10,5,DMH,2.769
2025-01-10,5,DRL,12.052
2025-01-10,5,DRH,3.255
2025-01-10,6,DCL,7.569
2025-01-10,6,DCH,3.699
2025-01-10,6,DML,4.464
2025-01-10,6,DMH,1.586
2025-01-10,6,DRL,7.592
2025-01-10,6,DRH,1.772
2025-01-11,1,DCL,3.191
2025-01-11,1,DCH,1.056
2025-01-11,1,DML,1.02
2025-01-11,1,DMH,0.478
2025-01-11,1,DRL,2.837
2025-01-11,1,DRH,1.792
2025-01-11,2,DCL,3.087
2025-01-11,2,DCH,2.685
2025-01-11,2,DML,1.377
2025-01-11,2,DMH,0.843
2025-01-11,2,DRL,4.113
2025-01-11,2,DRH,1.556
2025-01-11,3,DCL,1.998
2025-01-11,3,DCH,1.807
2025-01-11,3,DML,3.341
2025-01-11,3,DMH,0.716
2025-01-11,3,DRL,3.752
2025-01-11,3,DRH,0.799
2025-01-11,4,DCL,2.009
2025-01-11,4,DCH,2.138
2025-01-11,4,DML,6.339
2025-01-11,4,DMH,1.599
2025-01-11,4,DRL,4.653
2025-01-11,4,DRH,0.75
2025-01-11,5,DCL,9.016
2025-01-11,5,DCH,2.408
2025-01-11,5,DML,7.62
2025-01-11,5,DMH,1.882
2025-01-11,5,DRL,6.723
2025-01-11,5,DRH,5.744
2025-01-11,6,DCL,6.128
2025-01-11,6,DCH,0.739
2025-01-11,6,DML,6.099
2025-01-11,6,DMH,1.159
2025-01-11,6,DRL,5.51
2025-01-11,6,DRH,1.305
2025-01-12,1,DCL,3.121
2025-01-12,1,DCH,0.874
2025-01-12,1,DML,2.912
2025-01-12,1,DMH,1.07
2025-01-12,1,DRL,3.036
2025-01-12,1,DRH,1.064
2025-01-12,2,DCL,2.514
2025-01-12,2,DCH,0.398
2025-01-12,2,DML,0.994
2025-01-12,2,DMH,1.661
2025-01-12,2,DRL,2.24
2025-01-12,2,DRH,1.11
2025-01-12,3,DCL,2.283
2025-01-12,3,DCH,1.752
2025-01-12,3,DML,2.203
2025-01-12,3,DMH,1.029
2025-01-12,3,DRL,5.76
2025-01-12,3,DRH,1.886
2025-01-12,4,DCL,2.438
2025-01-12,4,DCH,2.203
2025-01-12,4,DML,3.434
2025-01-12,4,DMH,1.569
2025-01-12,4,DRL,5.465
2025-01-12,4,DRH,2.302
2025-01-12,5,DCL,7.715
2025-01-12,5,DCH,2.59
2025-01-12,5,DML,4.666
2025-01-12,5,DMH,1.298
2025-01-12,5,DRL,10.115
2025-01-12,5,DRH,13.996
2025-01-12,6,DCL,3.254
2025-01-12,6,DCH,0.746
2025-01-12,6,DML,2.071
2025-01-12,6,DMH,0.585
2025-01-12,6,DRL,7.164
2025-01-12,6,DRH,10.032
2025-01-13,1,DCL,2.575
2025-01-13,1,DCH,0.85
2025-01-13,1,DML,2.972
2025-01-13,1,DMH,0.712
2025-01-13,1,DRL,6.301
2025-01-13,1,DRH,1.592
2025-01-13,2,DCL,5.365
2025-01-13,2,DCH,0.9
2025-01-13,2,DML,1.642
2025-01-13,2,DMH,1.106
2025-01-13,2,DRL,2.187
2025-01-13,2,DRH,2.822
2025-01-13,3,DCL,7.175
2025-01-13,3,DCH,2.19
2025-01-13,3,DML,2.108
2025-01-13,3,DMH,1.128
2025-01-13,3,DRL,4.713
2025-01-13,3,DRH,2.426
2025-01-13,4,DCL,3.446
2025-01-13,4,DCH,1.655
2025-01-13,4,DML,1.491
2025-01-13,4,DMH,0.992
2025-01-13,4,DRL,6.37
2025-01-13,4,DRH,3.029
2025-01-13,5,DCL,5.89
2025-01-13,5,DCH,2.086
2025-01-13,5,DML,4.06
2025-01-13,5,DMH,0.911
2025-01-13,5,DRL,4.403
2025-01-13,5,DRH,3.132
2025-01-13,6,DCL,5.035
2025-01-13,6,DCH,1.258
2025-01-13,6,DML,4.026
2025-01-13,6,DMH,1.659
2025-01-13,6,DRL,8.055
2025-01-13,6,DRH,3.535
2025-01-14,1,DCL,8.537
2025-01-14,1,DCH,1.42
2025-01-14,1,DML,0.67
2025-01-14,1,DMH,1.177
2025-01-14,1,DRL,3.873
2025-01-14,1,DRH,1.839
2025-01-14,2,DCL,11.905
2025-01-14,2,DCH,0.734
2025-01-14,2,DML,2.024
2025-01-14,2,DMH,0.414
2025-01-14,2,DRL,3.524
2025-01-14,2,DRH,0.988
2025-01-14,3,DCL,1.86
2025-01-14,3,DCH,2.899
2025-01-14,3,DML,4.125
2025-01-14,3,DMH,1.501
2025-01-14,3,DRL,2.788
2025-01-14,3,DRH,2.184
2025-01-14,4,DCL,2.943
2025-01-14,4,DCH,1.133
2025-01-14,4,DML,3.29
2025-01-14,4,DMH,0.8
2025-01-14,4,DRL,1.538
2025-01-14,4,DRH,2.758
2025-01-14,5,DCL,3.865
2025-01-14,5,DCH,3.431
2025-01-14,5,DML,3.441
2025-01-14,5,DMH,1.499
2025-01-14,5,DRL,18.933
2025-01-14,5,DRH,4.025
2025-01-14,6,DCL,3.771
2025-01-14,6,DCH,1.541
2025-01-14,6,DML,4.371
2025-01-14,6,DMH,0.632
2025-01-14,6,DRL,3.89
2025-01-14,6,DRH,1.402
2025-01-15,1,DCL,0.735
2025-01-15,1,DCH,0.727
2025-01-15,1,DML,8.62
2025-01-15,1,DMH,1.344
2025-01-15,1,DRL,2.186
2025-01-15,1,DRH,1.763
2025-01-15,2,DCL,1.851
2025-01-15,2,DCH,0.626
2025-01-15,2,DML,0.798
2025-01-15,2,DMH,0.4
2025-01-15,2,DRL,2.124
2025-01-15,2,DRH,0.874
2025-01-15,3,DCL,7.215
2025-01-15,3,DCH,0.993
2025-01-15,3,DML,3.845
2025-01-15,3,DMH,1.114
2025-01-15,3,DRL,4.186
2025-01-15,3,DRH,1.334
2025-01-15,4,DCL,4.642
2025-01-15,4,DCH,1.199
2025-01-15,4,DML,2.958
2025-01-15,4,DMH,1.199
2025-01-15,4,DRL,3.078
2025-01-15,4,DRH,2.331
2025-01-15,5,DCL,19.838
2025-01-15,5,DCH,3.504
2025-01-15,5,DML,7.919
2025-01-15,5,DMH,2.791
2025-01-15,5,DRL,17.994
2025-01-15,5,DRH,2.277
2025-01-15,6,DCL,4.993
2025-01-15,6,DCH,2.46
2025-01-15,6,DML,1.891
2025-01-15,6,DMH,0.795
2025-01-15,6,DRL,11.711
2025-01-15,6,DRH,2.603
2025-01-16,1,DCL,4.222
2025-01-16,1,DCH,0.761
2025-01-16,1,DML,5.229
2025-01-16,1,DMH,1.308
2025-01-16,1,DRL,3.133
2025-01-16,1,DRH,1.289
2025-01-16,2,DCL,2.3
2025-01-16,2,DCH,0.719
2025-01-16,2,DML,1.776
2025-01-16,2,DMH,2.25
2025-01-16,2,DRL,6.646
2025-01-16,2,DRH,1.88
2025-01-16,3,DCL,5.918
2025-01-16,3,DCH,3.791
2025-01-16,3,DML,2.576
2025-01-16,3,DMH,0.389
2025-01-16,3,DRL,5.796
2025-01-16,3,DRH,1.289
2025-01-16,4,DCL,3.056
2025-01-16,4,DCH,0.861
2025-01-16,4,DML,2.329
2025-01-16,4,DMH,1.481
2025-01-16,4,DRL,4.345
2025-01-16,4,DRH,1.11
2025-01-16,5,DCL,9.881
2025-01-16,5,DCH,1.576
2025-01-16,5,DML,5.531
2025-01-16,5,DMH,2.068
2025-01-16,5,DRL,3.028
2025-01-16,5,DRH,8.729
2025-01-16,6,DCL,1.891
2025-01-16,6,DCH,1.597
2025-01-16,6,DML,2.282
2025-01-16,6,DMH,0.98
2025-01-16,6,DRL,6.474
2025-01-16,6,DRH,4.242
2025-01-17,1,DCL,3.218
2025-01-17,1,DCH,6.067
2025-01-17,1,DML,3.727
2025-01-17,1,DMH,1.176
2025-01-17,1,DRL,2.452
2025-01-17,1,DRH,1.715
2025-01-17,2,DCL,1.411
2025-01-17,2,DCH,0.499
2025-01-17,2,DML,2.169
2025-01-17,2,DMH,1.136
2025-01-17,2,DRL,5.223
2025-01-17,2,DRH,2.019
2025-01-17,3,DCL,2.316
2025-01-17,3,DCH,2.088
2025-01-17,3,DML,4.307
2025-01-17,3,DMH,0.825
2025-01-17,3,DRL,5.742
2025-01-17,3,DRH,1.455
2025-01-17,4,DCL,4.541
2025-01-17,4,DCH,0.912
2025-01-17,4,DML,4.33
2025-01-17,4,DMH,1.451
2025-01-17,4,DRL,5.741
2025-01-17,4,DRH,1.403
2025-01-17,5,DCL,18.932
2025-01-17,5,DCH,2.368
2025-01-17,5,DML,8.567
2025-01-17,5,DMH,1.295
2025-01-17,5,DRL,6.976
2025-01-17,5,DRH,4.6
2025-01-17,6,DCL,10.165
2025-01-17,6,DCH,1.765
2025-01-17,6,DML,2.589
2025-01-17,6,DMH,2.702
2025-01-17,6,DRL,7.462
2025-01-17,6,DRH,1.514
2025-01-18,1,DCL,2.245
2025-01-18,1,DCH,0.613
2025-01-18,1,DML,4.956
2025-01-18,1,DMH,3.471
2025-01-18,1,DRL,4.751
2025-01-18,1,DRH,0.928
2025-01-18,2,DCL,4.043
2025-01-18,2,DCH,0.884
2025-01-18,2,DML,0.881
2025-01-18,2,DMH,1.193
2025-01-18,2,DRL,5.833
2025-01-18,2,DRH,1.511
2025-01-18,3,DCL,7.151
2025-01-18,3,DCH,0.796
2025-01-18,3,DML,1.878
2025-01-18,3,DMH,1.217
2025-01-18,3,DRL,3.223
2025-01-18,3,DRH,2.995
2025-01-18,4,DCL,4.721
2025-01-18,4,DCH,1.76
2025-01-18,4,DML,2.502
2025-01-18,4,DMH,0.874
2025-01-18,4,DRL,5.487
2025-01-18,4,DRH,1.904
2025-01-18,5,DCL,5.047
2025-01-18,5,DCH,2.366
2025-01-18,5,DML,4.625
2025-01-18,5,DMH,2.371
2025-01-18,5,DRL,11.291
2025-01-18,5,DRH,2.387
2025-01-18,6,DCL,4.19
2025-01-18,6,DCH,2.089
2025-01-18,6,DML,10.742
2025-01-18,6,DMH,1.511
2025-01-18,6,DRL,7.275
2025-01-18,6,DRH,1.065
2025-01-19,1,DCL,8.224
2025-01-19,1,DCH,1.311
2025-01-19,1,DML,7.477
2025-01-19,1,DMH,1.092
2025-01-19,1,DRL,3.841
2025-01-19,1,DRH,0.949
2025-01-19,2,DCL,2.189
2025-01-19,2,DCH,1.023
2025-01-19,2,DML,1.867
2025-01-19,2,DMH,1.293
2025-01-19,2,DRL,7.227
2025-01-19,2,DRH,1.892
2025-01-19,3,DCL,2.975
2025-01-19,3,DCH,2.443
2025-01-19,3,DML,2.506
2025-01-19,3,DMH,1.009
2025-01-19,3,DRL,5.699
2025-01-19,3,DRH,4.674
2025-01-19,4,DCL,8.849
2025-01-19,4,DCH,1.33
2025-01-19,4,DML,2.822
2025-01-19,4,DMH,0.811
2025-01-19,4,DRL,6.794
2025-01-19,4,DRH,4.454
2025-01-19,5,DCL,5.789
2025-01-19,5,DCH,2.409
2025-01-19,5,DML,5.168
2025-01-19,5,DMH,1.618
2025-01-19,5,DRL,6.308
2025-01-19,5,DRH,7.922
2025-01-19,6,DCL,5.541
2025-01-19,6,DCH,1.797
2025-01-19,6,DML,3.939
2025-01-19,6,DMH,0.972
2025-01-19,6,DRL,4.622
2025-01-19,6,DRH,2.449
2025-01-20,1,DCL,3.049
2025-01-20,1,DCH,0.326
2025-01-20,1,DML,1.278
2025-01-20,1,DMH,1.018
2025-01-20,1,DRL,5.796
2025-01-20,1,DRH,0.681
2025-01-20,2,DCL,2.338
2025-01-20,2,DCH,0.963
2025-01-20,2,DML,2.95
2025-01-20,2,DMH,0.45
2025-01-20,2,DRL,2.975
2025-01-20,2,DRH,1.253
2025-01-20,3,DCL,3.611
2025-01-20,3,DCH,2.842
2025-01-20,3,DML,1.632
2025-01-20,3,DMH,1.209
2025-01-20,3,DRL,3.879
2025-01-20,3,DRH,1.961
2025-01-20,4,DCL,3.525
2025-01-20,4,DCH,1.096
2025-01-20,4,DML,5.04
2025-01-20,4,DMH,2.053
2025-01-20,4,DRL,5.268
2025-01-20,4,DRH,3.29
2025-01-20,5,DCL,4.8
2025-01-20,5,DCH,2.272
2025-01-20,5,DML,6.024
2025-01-20,5,DMH,1.896
2025-01-20,5,DRL,6.134
2025-01-20,5,DRH,3.322
2025-01-20,6,DCL,10.181
2025-01-20,6,DCH,1.525
2025-01-20,6,DML,2.684
2025-01-20,6,DMH,1.261
2025-01-20,6,DRL,2.703
2025-01-20,6,DRH,1.473
2025-01-21,1,DCL,2.265
2025-01-21,1,DCH,1.158
2025-01-21,1,DML,2.167
2025-01-21,1,DMH,0.68
2025-01-21,1,DRL,2.584
2025-01-21,1,DRH,2.98
2025-01-21,2,DCL,4.047
2025-01-21,2,DCH,1.314
2025-01-21,2,DML,5.864
2025-01-21,2,DMH,1.634
2025-01-21,2,DRL,6.854
2025-01-21,2,DRH,6.38
2025-01-21,3,DCL,4.114
2025-01-21,3,DCH,0.973
2025-01-21,3,DML,1.754
2025-01-21,3,DMH,1.382
2025-01-21,3,DRL,3.986
2025-01-21,3,DRH,0.772
2025-01-21,4,DCL,5.458
2025-01-21,4,DCH,2.561
2025-01-21,4,DML,3.724
2025-01-21,4,DMH,1.387
2025-01-21,4,DRL,8.222
2025-01-21,4,DRH,3.559
2025-01-21,5,DCL,12.328
2025-01-21,5,DCH,1.088
2025-01-21,5,DML,8.344
2025-01-21,5,DMH,1.043
2025-01-21,5,DRL,4.023
2025-01-21,5,DRH,2.999
2025-01-21,6,DCL,4.04
2025-01-21,6,DCH,1.623
2025-01-21,6,DML,7.028
2025-01-21,6,DMH,0.333
2025-01-21,6,DRL,3.235
2025-01-21,6,DRH,2.479
2025-01-22,1,DCL,2.517
2025-01-22,1,DCH,1.452
2025-01-22,1,DML,1.004
2025-01-22,1,DMH,2.135
2025-01-22,1,DRL,2.989
2025-01-22,1,DRH,3.039
2025-01-22,2,DCL,3.867
2025-01-22,2,DCH,0.863
2025-01-22,2,DML,2.289
2025-01-22,2,DMH,0.694
2025-01-22,2,DRL,3.404
2025-01-22,2,DRH,0.919
2025-01-22,3,DCL,3.16
2025-01-22,3,DCH,0.815
2025-01-22,3,DML,7.986
2025-01-22,3,DMH,1.908
2025-01-22,3,DRL,4.893
2025-01-22,3,DRH,3.633
2025-01-22,4,DCL,5.933
2025-01-22,4,DCH,0.848
2025-01-22,4,DML,3.353
2025-01-22,4,DMH,1.257
2025-01-22,4,DRL,5.643
2025-01-22,4,DRH,1.733
2025-01-22,5,DCL,4.768
2025-01-22,5,DCH,3.082
2025-01-22,5,DML,3.547
2025-01-22,5,DMH,0.495
2025-01-22,5,DRL,1.538
2025-01-22,5,DRH,6.367
2025-01-22,6,DCL,3.34
2025-01-22,6,DCH,1.657
2025-01-22,6,DML,1.826
2025-01-22,6,DMH,3.131
2025-01-22,6,DRL,15.987
2025-01-22,6,DRH,3.139
2025-01-23,1,DCL,3.964
2025-01-23,1,DCH,0.733
2025-01-23,1,DML,3.603
2025-01-23,1,DMH,1.789
2025-01-23,1,DRL,4.163
2025-01-23,1,DRH,0.851
2025-01-23,2,DCL,2.847
2025-01-23,2,DCH,0.46
2025-01-23,2,DML,2.29
2025-01-23,2,DMH,0.849
2025-01-23,2,DRL,4.296
2025-01-23,2,DRH,1.293
2025-01-23,3,DCL,2.726
2025-01-23,3,DCH,1.13
2025-01-23,3,DML,8.656
2025-01-23,3,DMH,0.764
2025-01-23,3,DRL,3.228
2025-01-23,3,DRH,10.492
2025-01-23,4,DCL,3.004
2025-01-23,4,DCH,3.347
2025-01-23,4,DML,3.643
2025-01-23,4,DMH,2.029
2025-01-23,4,DRL,5.893
2025-01-23,4,DRH,1.798
2025-01-23,5,DCL,6.367
2025-01-23,5,DCH,2.405
2025-01-23,5,DML,2.202
2025-01-23,5,DMH,1.789
2025-01-23,5,DRL,7.943
2025-01-23,5,DRH,2.736
2025-01-23,6,DCL,10.08
2025-01-23,6,DCH,1.534
2025-01-23,6,DML,2.9
2025-01-23,6,DMH,1.156
2025-01-23,6,DRL,4.085
2025-01-23,6,DRH,5.346
2025-01-24,1,DCL,1.452
