date,period,offer_gbp_mwh,bid_gbp_mwh
2025-01-13,24,142.2,72.42
2025-01-13,25,169.74,10.48
2025-01-13,26,121.65,52.8
2025-01-13,27,129.88,52.45
2025-01-13,28,164.15,58.34
2025-01-13,29,149.95,64.29
2025-01-13,30,142.08,51.46
2025-01-13,31,180.51,81.8
2025-01-13,32,153.11,67.16
2025-01-13,33,167.59,98.8
2025-01-13,34,207.28,61.66
2025-01-13,35,181.6,55.89
2025-01-13,36,194.24,81.25
2025-01-13,37,203.23,88.93
2025-01-13,38,197.65,103.09
2025-01-13,39,151.83,78.05
2025-01-13,40,179.73,42.36
2025-01-13,41,171.86,30.33
2025-01-13,42,132.55,17.82
2025-01-13,43,117.92,28.87
2025-01-13,44,110.87,8.69
2025-01-13,45,118.36,12.92
2025-01-13,46,89.14,18.15
2025-01-13,47,95.72,15.09
2025-01-13,48,132.3,28.61
2025-01-14,1,111.0,34.48
2025-01-14,2,121.62,35.0
2025-01-14,3,84.15,28.31
2025-01-14,4,92.85,-16.53
2025-01-14,5,110.76,19.79
2025-01-14,6,119.85,-11.81
2025-01-14,7,106.87,-11.36
2025-01-14,8,118.59,-19.17
2025-01-14,9,117.46,17.17
2025-01-14,10,83.18,-20.6
2025-01-14,11,93.73,6.61
2025-01-14,12,89.1,14.52
2025-01-14,13,144.5,-6.52
2025-01-14,14,141.57,28.14
2025-01-14,15,152.32,18.29
2025-01-14,16,122.39,63.23
2025-01-14,17,128.59,25.69
2025-01-14,18,154.07,67.43
2025-01-14,19,166.47,58.45
2025-01-14,20,117.41,63.86
2025-01-14,21,153.18,39.47
2025-01-14,22,143.03,27.42
2025-01-14,23,174.0,53.13
2025-01-14,24,156.93,60.83
2025-01-14,25,147.88,26.38
2025-01-14,26,151.87,16.7
2025-01-14,27,139.91,23.62
2025-01-14,28,130.51,70.18
2025-01-14,29,161.61,25.43
2025-01-14,30,185.59,84.85
2025-01-14,31,143.94,93.97
2025-01-14,32,189.5,92.22
2025-01-14,33,201.36,58.16
2025-01-14,34,204.22,102.47
2025-01-14,35,163.62,62.21
2025-01-14,36,174.5,83.06
2025-01-14,37,193.7,79.33
2025-01-14,38,173.83,67.36
2025-01-14,39,158.25,90.5
2025-01-14,40,152.23,64.56
2025-01-14,41,174.52,78.65
2025-01-14,42,130.59,44.91
2025-01-14,43,122.95,52.02
2025-01-14,44,114.61,12.94
2025-01-14,45,119.44,28.33
2025-01-14,46,100.25,-0.08
2025-01-14,47,94.61,32.16
2025-01-14,48,136.16,18.07
2025-01-15,1,93.44,3.52
2025-01-15,2,84.56,35.1
2025-01-15,3,105.46,24.41
2025-01-15,4,120.11,18.17
2025-01-15,5,79.73,-5.91
2025-01-15,6,124.99,-5.79
2025-01-15,7,128.01,13.99
2025-01-15,8,95.6,2.14
2025-01-15,9,112.45,2.44
2025-01-15,10,96.94,21.14
2025-01-15,11,126.26,31.34
2025-01-15,12,122.61,-7.12
2025-01-15,13,126.1,-2.01
2025-01-15,14,135.83,2.41
2025-01-15,15,145.67,48.36
2025-01-15,16,132.49,52.68
2025-01-15,17,144.39,9.74
2025-01-15,18,149.55,46.74
2025-01-15,19,122.17,12.92
2025-01-15,20,151.32,41.17
2025-01-15,21,120.26,34.82
2025-01-15,22,133.51,20.35
2025-01-15,23,121.81,33.43
2025-01-15,24,133.2,61.56
2025-01-15,25,134.81,55.61
2025-01-15,26,140.55,35.44
2025-01-15,27,133.63,77.54
2025-01-15,28,133.29,13.59
2025-01-15,29,150.66,60.79
2025-01-15,30,138.11,78.7
2025-01-15,31,188.3,88.34
2025-01-15,32,177.85,40.13
2025-01-15,33,181.21,79.84
2025-01-15,34,200.84,91.3
2025-01-15,35,166.94,103.15
2025-01-15,36,167.72,108.65
2025-01-15,37,199.78,68.74
2025-01-15,38,201.64,65.82
2025-01-15,39,184.14,47.88
2025-01-15,40,154.5,58.78
2025-01-15,41,168.2,42.78
2025-01-15,42,125.88,59.36
2025-01-15,43,121.19,9.53
2025-01-15,44,153.8,25.22
2025-01-15,45,130.6,22.73
2025-01-15,46,118.5,27.59
2025-01-15,47,109.12,-2.65
2025-01-15,48,105.41,18.87
2025-01-16,1,89.04,26.04
2025-01-16,2,100.64,-5.8
2025-01-16,3,96.18,20.77
2025-01-16,4,105.07,21.56
2025-01-16,5,110.78,3.95
2025-01-16,6,104.39,16.27
2025-01-16,7,112.84,14.27
2025-01-16,8,90.7,-2.0
2025-01-16,9,96.73,9.77
2025-01-16,10,112.48,27.78
2025-01-16,11,127.0,8.49
2025-01-16,12,130.07,-5.85
2025-01-16,13,101.55,8.91
2025-01-16,14,127.92,34.07
2025-01-16,15,152.38,17.63
2025-01-16,16,134.57,43.75
2025-01-16,17,161.17,39.32
2025-01-16,18,139.56,24.89
2025-01-16,19,153.36,26.46
2025-01-16,20,126.21,50.93
2025-01-16,21,123.6,16.77
2025-01-16,22,174.02,43.02
2025-01-16,23,155.66,28.26
2025-01-16,24,155.85,55.77
2025-01-16,25,138.58,29.04
2025-01-16,26,163.62,69.79
2025-01-16,27,134.79,62.24
2025-01-16,28,143.72,79.34
2025-01-16,29,132.4,64.49
2025-01-16,30,143.38,47.81
2025-01-16,31,183.44,33.53
2025-01-16,32,151.75,79.48
2025-01-16,33,159.01,48.41
2025-01-16,34,204.2,69.95
2025-01-16,35,176.89,109.49
2025-01-16,36,192.9,100.97
2025-01-16,37,161.43,104.64
2025-01-16,38,186.19,63.28
2025-01-16,39,167.46,80.95
2025-01-16,40,144.82,53.4
2025-01-16,41,143.01,18.79
2025-01-16,42,155.92,38.2
2025-01-16,43,114.91,16.67
2025-01-16,44,146.61,51.98
2025-01-16,45,108.33,-1.32
2025-01-16,46,133.03,31.62
2025-01-16,47,116.84,35.21
2025-01-16,48,137.77,37.54
2025-01-17,1,80.45,4.97
2025-01-17,2,99.21,32.84
2025-01-17,3,132.34,38.35
2025-01-17,4,109.93,-3.06
2025-01-17,5,119.09,-15.85
2025-01-17,6,102.28,-6.87
2025-01-17,7,84.44,19.76
2025-01-17,8,75.82,26.61
2025-01-17,9,91.98,15.89
2025-01-17,10,134.37,14.98
2025-01-17,11,85.78,21.13
2025-01-17,12,116.12,34.34
2025-01-17,13,116.06,38.48
2025-01-17,14,107.62,1.63
2025-01-17,15,131.06,21.04
2025-01-17,16,113.25,36.07
2025-01-17,17,134.67,55.18
2025-01-17,18,150.42,38.94
2025-01-17,19,157.53,38.57
2025-01-17,20,158.56,24.23
2025-01-17,21,128.27,34.41
2025-01-17,22,147.16,60.69
2025-01-17,23,118.17,50.76
2025-01-17,24,147.64,18.29
2025-01-17,25,158.74,43.55
2025-01-17,26,165.07,69.82
2025-01-17,27,142.74,21.92
2025-01-17,28,136.24,37.96
2025-01-17,29,161.14,62.74
2025-01-17,30,172.5,45.0
2025-01-17,31,144.18,70.16
2025-01-17,32,179.69,57.4
2025-01-17,33,181.68,41.99
2025-01-17,34,165.07,79.04
2025-01-17,35,174.54,86.8
2025-01-17,36,182.73,95.67
2025-01-17,37,200.7,105.72
2025-01-17,38,183.71,50.31
2025-01-17,39,174.4,42.72
2025-01-17,40,140.58,29.37
2025-01-17,41,171.22,63.97
2025-01-17,42,163.72,35.99
2025-01-17,43,141.74,12.02
2025-01-17,44,151.53,11.11
2025-01-17,45,151.25,0.81
2025-01-17,46,115.87,1.72
