date,efa_block,product,avail_gbp_mw_h,util_gbp_mwh
2025-01-03,5,SR,12.921,95.8
2025-01-03,6,PQR,3.144,129.1
2025-01-03,6,NQR,1.707,31.7
2025-01-03,6,SR,4.806,150.3
2025-01-04,1,PQR,3.069,110.4
2025-01-04,1,NQR,2.139,46.9
2025-01-04,1,SR,4.786,77.1
2025-01-04,2,PQR,3.607,162.6
2025-01-04,2,NQR,1.776,34.0
2025-01-04,2,SR,8.133,92.1
2025-01-04,3,PQR,2.663,156.3
2025-01-04,3,NQR,1.12,38.1
2025-01-04,3,SR,2.527,104.5
2025-01-04,4,PQR,1.563,93.7
2025-01-04,4,NQR,0.566,31.4
2025-01-04,4,SR,8.455,135.1
2025-01-04,5,PQR,3.501,132.5
2025-01-04,5,NQR,3.472,32.8
2025-01-04,5,SR,3.73,115.4
2025-01-04,6,PQR,7.442,156.8
2025-01-04,6,NQR,1.163,38.0
2025-01-04,6,SR,3.677,110.2
2025-01-05,1,PQR,1.826,143.2
2025-01-05,1,NQR,1.17,41.5
2025-01-05,1,SR,4.101,134.6
2025-01-05,2,PQR,1.962,116.9
2025-01-05,2,NQR,0.426,49.0
2025-01-05,2,SR,8.29,98.0
2025-01-05,3,PQR,1.961,125.8
2025-01-05,3,NQR,1.341,52.3
2025-01-05,3,SR,2.083,124.2
2025-01-05,4,PQR,1.072,125.5
2025-01-05,4,NQR,2.303,43.9
2025-01-05,4,SR,7.126,141.4
2025-01-05,5,PQR,4.102,110.4
2025-01-05,5,NQR,2.946,35.5
2025-01-05,5,SR,12.94,149.3
2025-01-05,6,PQR,2.562,117.8
2025-01-05,6,NQR,0.965,47.1
2025-01-05,6,SR,3.333,90.5
2025-01-06,1,PQR,2.142,118.6
2025-01-06,1,NQR,1.463,34.5
2025-01-06,1,SR,4.432,115.5
2025-01-06,2,PQR,2.376,132.9
2025-01-06,2,NQR,1.704,55.7
2025-01-06,2,SR,3.892,126.2
2025-01-06,3,PQR,4.314,166.8
2025-01-06,3,NQR,1.014,53.4
2025-01-06,3,SR,5.708,97.7
2025-01-06,4,PQR,6.528,112.0
2025-01-06,4,NQR,1.302,31.6
2025-01-06,4,SR,6.773,142.5
2025-01-06,5,PQR,3.393,139.1
2025-01-06,5,NQR,2.255,29.8
2025-01-06,5,SR,8.302,121.8
2025-01-06,6,PQR,6.949,151.4
2025-01-06,6,NQR,2.22,28.3
2025-01-06,6,SR,4.325,146.6
2025-01-07,1,PQR,2.779,119.8
2025-01-07,1,NQR,1.844,42.1
2025-01-07,1,SR,2.331,96.8
2025-01-07,2,PQR,2.293,165.5
2025-01-07,2,NQR,1.012,55.1
2025-01-07,2,SR,2.05,87.9
2025-01-07,3,PQR,10.85,131.4
2025-01-07,3,NQR,1.097,29.6
2025-01-07,3,SR,2.453,139.8
2025-01-07,4,PQR,3.489,99.6
2025-01-07,4,NQR,2.063,44.5
2025-01-07,4,SR,6.127,111.1
2025-01-07,5,PQR,19.093,162.1
2025-01-07,5,NQR,1.811,36.8
2025-01-07,5,SR,4.28,111.8
2025-01-07,6,PQR,4.638,138.9
2025-01-07,6,NQR,5.549,46.4
2025-01-07,6,SR,1.893,150.1
2025-01-08,1,PQR,1.5,116.2
2025-01-08,1,NQR,1.238,50.5
2025-01-08,1,SR,2.138,108.0
2025-01-08,2,PQR,3.29,125.9
2025-01-08,2,NQR,1.014,47.1
2025-01-08,2,SR,4.492,140.8
2025-01-08,3,PQR,4.621,119.3
2025-01-08,3,NQR,0.626,30.7
2025-01-08,3,SR,2.095,141.4
2025-01-08,4,PQR,4.345,136.6
2025-01-08,4,NQR,1.388,32.2
2025-01-08,4,SR,5.147,146.5
2025-01-08,5,PQR,11.608,133.2
2025-01-08,5,NQR,2.922,38.6
2025-01-08,5,SR,6.232,116.2
2025-01-08,6,PQR,5.034,108.7
2025-01-08,6,NQR,3.316,42.0
2025-01-08,6,SR,4.521,150.2
2025-01-09,1,PQR,4.213,97.9
2025-01-09,1,NQR,1.287,52.5
2025-01-09,1,SR,2.066,80.1
2025-01-09,2,PQR,2.579,141.0
2025-01-09,2,NQR,1.892,54.8
2025-01-09,2,SR,1.363,133.9
2025-01-09,3,PQR,4.129,153.4
2025-01-09,3,NQR,2.099,46.0
2025-01-09,3,SR,3.624,97.8
2025-01-09,4,PQR,2.243,133.4
2025-01-09,4,NQR,2.979,29.8
2025-01-09,4,SR,4.582,106.0
2025-01-09,5,PQR,3.617,120.3
2025-01-09,5,NQR,3.676,39.6
2025-01-09,5,SR,5.763,101.5
2025-01-09,6,PQR,3.626,136.2
2025-01-09,6,NQR,0.738,28.6
2025-01-09,6,SR,2.416,93.7
2025-01-10,1,PQR,1.971,92.3
2025-01-10,1,NQR,1.195,48.2
2025-01-10,1,SR,3.864,141.9
2025-01-10,2,PQR,1.432,153.5
2025-01-10,2,NQR,1.358,48.6
2025-01-10,2,SR,4.499,143.1
2025-01-10,3,PQR,1.614,89.9
2025-01-10,3,NQR,1.212,53.6
2025-01-10,3,SR,5.694,152.6
2025-01-10,4,PQR,2.11,90.4
2025-01-10,4,NQR,0.992,55.6
2025-01-10,4,SR,3.148,131.7
2025-01-10,5,PQR,4.79,162.7
2025-01-10,5,NQR,2.802,41.8
2025-01-10,5,SR,4.367,81.4
2025-01-10,6,PQR,3.182,130.5
2025-01-10,6,NQR,1.03,46.1
2025-01-10,6,SR,5.276,119.7
2025-01-11,1,PQR,1.844,167.2
2025-01-11,1,NQR,1.217,54.3
2025-01-11,1,SR,3.044,78.6
2025-01-11,2,PQR,1.702,136.1
2025-01-11,2,NQR,0.948,36.7
2025-01-11,2,SR,1.291,110.8
2025-01-11,3,PQR,2.196,162.3
2025-01-11,3,NQR,2.378,40.4
2025-01-11,3,SR,6.659,141.6
2025-01-11,4,PQR,1.136,94.8
2025-01-11,4,NQR,1.462,48.1
2025-01-11,4,SR,4.519,107.2
2025-01-11,5,PQR,2.873,125.7
2025-01-11,5,NQR,3.165,47.1
2025-01-11,5,SR,8.529,150.8
2025-01-11,6,PQR,4.47,129.6
2025-01-11,6,NQR,2.023,42.6
2025-01-11,6,SR,12.594,85.4
2025-01-12,1,PQR,2.857,152.7
2025-01-12,1,NQR,1.733,41.8
2025-01-12,1,SR,6.873,83.0
2025-01-12,2,PQR,2.013,161.9
2025-01-12,2,NQR,0.663,31.6
2025-01-12,2,SR,1.961,130.8
2025-01-12,3,PQR,2.447,149.4
2025-01-12,3,NQR,2.199,35.7
2025-01-12,3,SR,4.098,92.9
2025-01-12,4,PQR,4.425,151.0
2025-01-12,4,NQR,2.759,31.9
2025-01-12,4,SR,8.751,81.7
2025-01-12,5,PQR,3.885,136.7
2025-01-12,5,NQR,2.1,28.9
2025-01-12,5,SR,14.201,119.0
2025-01-12,6,PQR,2.861,123.5
2025-01-12,6,NQR,3.018,40.3
2025-01-12,6,SR,9.213,80.1
2025-01-13,1,PQR,1.806,99.7
2025-01-13,1,NQR,1.589,37.0
2025-01-13,1,SR,4.012,124.9
2025-01-13,2,PQR,2.621,92.0
2025-01-13,2,NQR,1.727,48.4
2025-01-13,2,SR,3.335,116.9
2025-01-13,3,PQR,1.427,156.7
2025-01-13,3,NQR,1.01,41.5
2025-01-13,3,SR,2.853,138.5
2025-01-13,4,PQR,2.175,160.3
2025-01-13,4,NQR,5.254,45.6
2025-01-13,4,SR,3.093,116.3
2025-01-13,5,PQR,4.315,128.4
2025-01-13,5,NQR,2.402,38.7
2025-01-13,5,SR,10.237,96.7
2025-01-13,6,PQR,4.614,84.5
2025-01-13,6,NQR,2.176,30.0
2025-01-13,6,SR,3.473,93.0
2025-01-14,1,PQR,2.827,84.2
2025-01-14,1,NQR,1.364,36.5
2025-01-14,1,SR,2.669,124.2
2025-01-14,2,PQR,1.753,109.9
2025-01-14,2,NQR,1.551,51.3
2025-01-14,2,SR,1.263,121.3
2025-01-14,3,PQR,2.222,157.7
2025-01-14,3,NQR,1.39,31.1
2025-01-14,3,SR,6.899,106.4
2025-01-14,4,PQR,4.051,128.4
2025-01-14,4,NQR,0.986,32.2
2025-01-14,4,SR,2.104,80.5
2025-01-14,5,PQR,5.553,97.9
2025-01-14,5,NQR,1.948,55.8
2025-01-14,5,SR,10.652,146.7
2025-01-14,6,PQR,8.335,153.6
2025-01-14,6,NQR,0.64,40.9
2025-01-14,6,SR,4.504,137.9
2025-01-15,1,PQR,2.586,101.6
2025-01-15,1,NQR,3.512,49.8
2025-01-15,1,SR,2.672,82.5
2025-01-15,2,PQR,2.558,114.6
2025-01-15,2,NQR,0.254,53.9
2025-01-15,2,SR,2.419,109.0
2025-01-15,3,PQR,2.731,120.8
2025-01-15,3,NQR,1.715,46.4
2025-01-15,3,SR,2.455,93.5
2025-01-15,4,PQR,2.291,120.2
2025-01-15,4,NQR,0.777,35.7
2025-01-15,4,SR,5.809,100.8
2025-01-15,5,PQR,1.303,141.5
2025-01-15,5,NQR,3.47,28.5
2025-01-15,5,SR,7.532,150.6
2025-01-15,6,PQR,2.517,101.5
2025-01-15,6,NQR,1.391,41.0
2025-01-15,6,SR,2.534,133.2
2025-01-16,1,PQR,2.842,134.6
2025-01-16,1,NQR,1.986,32.7
2025-01-16,1,SR,4.212,100.3
2025-01-16,2,PQR,2.16,108.7
2025-01-16,2,NQR,2.155,40.7
2025-01-16,2,SR,2.946,152.8
2025-01-16,3,PQR,2.019,119.0
2025-01-16,3,NQR,1.789,54.1
2025-01-16,3,SR,2.845,137.4
2025-01-16,4,PQR,5.124,167.6
2025-01-16,4,NQR,1.4,47.3
2025-01-16,4,SR,4.711,140.8
2025-01-16,5,PQR,2.283,97.8
2025-01-16,5,NQR,3.19,42.3
2025-01-16,5,SR,5.125,90.2
2025-01-16,6,PQR,2.895,88.5
2025-01-16,6,NQR,1.973,45.4
2025-01-16,6,SR,4.23,110.2
2025-01-17,1,PQR,5.1,102.2
2025-01-17,1,NQR,2.932,34.1
2025-01-17,1,SR,1.868,137.3
2025-01-17,2,PQR,2.853,131.2
2025-01-17,2,NQR,1.162,55.4
2025-01-17,2,SR,1.125,110.4
2025-01-17,3,PQR,1.117,116.3
2025-01-17,3,NQR,1.244,43.5
2025-01-17,3,SR,10.571,104.3
2025-01-17,4,PQR,2.131,145.1
2025-01-17,4,NQR,4.241,28.9
2025-01-17,4,SR,2.793,88.4
2025-01-17,5,PQR,5.717,163.9
2025-01-17,5,NQR,1.751,54.0
2025-01-17,5,SR,11.906,104.5
2025-01-17,6,PQR,2.05,163.3
2025-01-17,6,NQR,1.762,31.6
2025-01-17,6,SR,8.227,140.0
2025-01-18,1,PQR,1.698,153.2
2025-01-18,1,NQR,2.737,29.8
2025-01-18,1,SR,3.288,118.3
2025-01-18,2,PQR,2.678,166.6
2025-01-18,2,NQR,0.802,30.9
2025-01-18,2,SR,3.716,140.6
2025-01-18,3,PQR,2.56,151.2
2025-01-18,3,NQR,1.627,46.2
2025-01-18,3,SR,6.282,146.8
2025-01-18,4,PQR,7.272,135.5
2025-01-18,4,NQR,2.401,53.6
2025-01-18,4,SR,4.186,132.4
2025-01-18,5,PQR,3.33,165.4
2025-01-18,5,NQR,3.859,29.0
2025-01-18,5,SR,6.218,135.5
2025-01-18,6,PQR,2.697,90.7
2025-01-18,6,NQR,2.353,48.9
2025-01-18,6,SR,7.834,113.2
2025-01-19,1,PQR,4.354,97.1
2025-01-19,1,NQR,1.013,48.8
2025-01-19,1,SR,6.243,152.4
2025-01-19,2,PQR,5.869,161.6
2025-01-19,2,NQR,1.089,38.3
2025-01-19,2,SR,7.183,86.6
2025-01-19,3,PQR,3.492,122.1
2025-01-19,3,NQR,1.615,49.8
2025-01-19,3,SR,3.629,107.2
2025-01-19,4,PQR,7.037,86.3
2025-01-19,4,NQR,2.331,31.8
2025-01-19,4,SR,5.694,139.2
2025-01-19,5,PQR,18.169,124.9
2025-01-19,5,NQR,1.398,36.1
2025-01-19,5,SR,6.229,147.7
2025-01-19,6,PQR,1.556,89.8
2025-01-19,6,NQR,1.098,33.4
2025-01-19,6,SR,5.438,121.1
2025-01-20,1,PQR,2.065,144.0
2025-01-20,1,NQR,0.677,53.4
2025-01-20,1,SR,3.615,111.8
2025-01-20,2,PQR,2.039,120.4
2025-01-20,2,NQR,1.615,42.0
2025-01-20,2,SR,1.869,149.6
2025-01-20,3,PQR,1.244,114.2
2025-01-20,3,NQR,1.069,33.8
2025-01-20,3,SR,2.884,131.1
2025-01-20,4,PQR,2.703,157.6
2025-01-20,4,NQR,1.256,41.0
2025-01-20,4,SR,3.091,144.1
2025-01-20,5,PQR,7.323,100.9
2025-01-20,5,NQR,2.463,45.5
2025-01-20,5,SR,10.104,87.3
2025-01-20,6,PQR,2.634,101.4
2025-01-20,6,NQR,1.892,42.7
2025-01-20,6,SR,8.879,132.8
2025-01-21,1,PQR,2.025,111.9
2025-01-21,1,NQR,1.369,31.8
2025-01-21,1,SR,1.304,96.6
2025-01-21,2,PQR,3.192,126.8
2025-01-21,2,NQR,1.991,47.1
2025-01-21,2,SR,3.228,110.5
2025-01-21,3,PQR,1.357,102.7
2025-01-21,3,NQR,1.012,54.4
2025-01-21,3,SR,4.388,120.0
2025-01-21,4,PQR,3.768,112.8
2025-01-21,4,NQR,0.541,48.2
2025-01-21,4,SR,3.751,95.0
2025-01-21,5,PQR,3.994,134.9
2025-01-21,5,NQR,3.629,32.3
2025-01-21,5,SR,11.104,101.0
2025-01-21,6,PQR,1.995,117.1
2025-01-21,6,NQR,1.805,39.7
2025-01-21,6,SR,4.965,109.6
2025-01-22,1,PQR,2.347,152.9
2025-01-22,1,NQR,1.955,50.0
2025-01-22,1,SR,6.033,151.6
2025-01-22,2,PQR,2.472,84.4
2025-01-22,2,NQR,0.934,31.6
2025-01-22,2,SR,3.27,146.8
2025-01-22,3,PQR,1.044,146.4
2025-01-22,3,NQR,1.288,44.8
2025-01-22,3,SR,3.493,145.5
2025-01-22,4,PQR,6.231,84.5
2025-01-22,4,NQR,4.243,34.8
2025-01-22,4,SR,6.334,106.4
2025-01-22,5,PQR,8.659,92.4
2025-01-22,5,NQR,2.254,44.8
2025-01-22,5,SR,6.496,124.1
2025-01-22,6,PQR,3.414,92.6
2025-01-22,6,NQR,4.165,52.8
2025-01-22,6,SR,4.159,127.8
2025-01-23,1,PQR,2.356,138.3
2025-01-23,1,NQR,0.788,47.2
2025-01-23,1,SR,1.727,146.9
2025-01-23,2,PQR,1.462,90.1
2025-01-23,2,NQR,0.934,31.5
2025-01-23,2,SR,3.291,106.8
2025-01-23,3,PQR,3.465,122.5
2025-01-23,3,NQR,2.396,29.3
2025-01-23,3,SR,6.192,107.3
2025-01-23,4,PQR,4.234,101.8
2025-01-23,4,NQR,1.868,38.1
2025-01-23,4,SR,6.681,107.0
2025-01-23,5,PQR,5.539,157.7
2025-01-23,5,NQR,3.858,36.8
2025-01-23,5,SR,7.121,103.2
2025-01-23,6,PQR,6.861,125.1
2025-01-23,6,NQR,1.821,47.8
2025-01-23,6,SR,4.984,98.3
2025-01-24,1,PQR,4.901,145.0
2025-01-24,1,NQR,2.035,37.0
2025-01-24,1,SR,1.17,85.2
2025-01-24,2,PQR,1.251,126.7
2025-01-24,2,NQR,2.107,52.8
2025-01-24,2,SR,5.7,86.0
2025-01-24,3,PQR,3.323,111.5
2025-01-24,3,NQR,1.179,47.4
2025-01-24,3,SR,3.826,81.9
2025-01-24,4,PQR,4.744,148.0
2025-01-24,4,NQR,2.59,49.7
2025-01-24,4,SR,5.268,119.4
2025-01-24,5,PQR,3.51,114.9
2025-01-24,5,NQR,2.46,42.3
2025-01-24,5,SR,1.449,90.4
2025-01-24,6,PQR,3.096,165.7
2025-01-24,6,NQR,0.762,46.8
2025-01-24,6,SR,10.208,142.5
2025-01-25,1,PQR,3.402,102.0
2025-01-25,1,NQR,0.778,32.7
2025-01-25,1,SR,3.83,123.0
2025-01-25,2,PQR,0.828,158.5
2025-01-25,2,NQR,0.758,51.5
2025-01-25,2,SR,3.88,104.7
2025-01-25,3,PQR,2.14,97.5
2025-01-25,3,NQR,2.666,42.3
2025-01-25,3,SR,2.255,83.7
2025-01-25,4,PQR,2.77,154.5
2025-01-25,4,NQR,5.113,53.3
2025-01-25,4,SR,5.879,107.7
2025-01-25,5,PQR,2.569,140.0
2025-01-25,5,NQR,1.67,30.6
2025-01-25,5,SR,4.236,81.3
2025-01-25,6,PQR,4.17,107.4
2025-01-25,6,NQR,2.318,49.7
2025-01-25,6,SR,3.008,119.0
2025-01-26,1,PQR,2.031,105.0
2025-01-26,1,NQR,1.537,43.9
2025-01-26,1,SR,6.604,83.4
2025-01-26,2,PQR,4.927,113.3
2025-01-26,2,NQR,0.612,32.4
2025-01-26,2,SR,8.895,132.9
2025-01-26,3,PQR,5.168,133.8
2025-01-26,3,NQR,1.422,42.1
2025-01-26,3,SR,6.586,89.9
2025-01-26,4,PQR,1.627,118.9
2025-01-26,4,NQR,1.567,35.8
2025-01-26,4,SR,4.324,103.5
2025-01-26,5,PQR,6.669,140.1
2025-01-26,5,NQR,0.778,55.2
2025-01-26,5,SR,6.188,101.3
2025-01-26,6,PQR,1.742,120.0
2025-01-26,6,NQR,2.176,43.2
2025-01-26,6,SR,3.674,149.3
2025-01-27,1,PQR,3.12,85.9
2025-01-27,1,NQR,1.486,45.4
2025-01-27,1,SR,3.204,122.0
2025-01-27,2,PQR,4.512,124.8
2025-01-27,2,NQR,1.097,42.7
2025-01-27,2,SR,3.344,144.1
2025-01-27,3,PQR,3.566,129.1
2025-01-27,3,NQR,1.121,36.4
2025-01-27,3,SR,2.213,128.0
2025-01-27,4,PQR,3.288,89.9
2025-01-27,4,NQR,2.886,45.7
2025-01-27,4,SR,6.465,129.8
2025-01-27,5,PQR,7.786,88.1
2025-01-27,5,NQR,3.019,53.4
2025-01-27,5,SR,7.34,143.6
2025-01-27,6,PQR,3.562,117.0
2025-01-27,6,NQR,1.349,28.4
2025-01-27,6,SR,5.594,153.2
2025-01-28,1,PQR,1.878,109.4
2025-01-28,1,NQR,1.873,32.9
2025-01-28,1,SR,3.0,146.4
2025-01-28,2,PQR,1.1,103.7
2025-01-28,2,NQR,0.664,42.0
2025-01-28,2,SR,5.559,108.2
2025-01-28,3,PQR,2.103,146.8
2025-01-28,3,NQR,1.64,37.6
2025-01-28,3,SR,7.269,113.2
2025-01-28,4,PQR,2.645,164.8
2025-01-28,4,NQR,2.474,54.8
2025-01-28,4,SR,3.126,78.4
2025-01-28,5,PQR,3.022,88.5
2025-01-28,5,NQR,5.501,40.6
2025-01-28,5,SR,8.612,99.7
2025-01-28,6,PQR,4.111,84.2
2025-01-28,6,NQR,0.641,34.8
2025-01-28,6,SR,4.783,131.4
2025-01-29,1,PQR,1.421,84.5
2025-01-29,1,NQR,0.785,55.5
2025-01-29,1,SR,13.611,137.4
2025-01-29,2,PQR,3.018,167.8
2025-01-29,2,NQR,1.102,49.9
2025-01-29,2,SR,3.156,82.1
2025-01-29,3,PQR,1.637,150.2
2025-01-29,3,NQR,1.091,36.3
2025-01-29,3,SR,5.523,79.2
2025-01-29,4,PQR,1.515,104.3
2025-01-29,4,NQR,1.06,47.7
2025-01-29,4,SR,5.759,140.6
2025-01-29,5,PQR,5.747,143.3
2025-01-29,5,NQR,1.365,32.2
2025-01-29,5,SR,4.077,113.2
2025-01-29,6,PQR,5.339,134.5
2025-01-29,6,NQR,2.371,52.0
2025-01-29,6,SR,3.431,101.1
2025-01-30,1,PQR,2.725,164.8
2025-01-30,1,NQR,1.045,53.7
2025-01-30,1,SR,1.049,143.0
2025-01-30,2,PQR,2.597,134.2
2025-01-30,2,NQR,1.316,46.9
2025-01-30,2,SR,2.022,117.4
2025-01-30,3,PQR,3.254,114.5
2025-01-30,3,NQR,1.698,42.6
2025-01-30,3,SR,2.811,129.0
2025-01-30,4,PQR,3.821,90.4
2025-01-30,4,NQR,1.87,31.4
2025-01-30,4,SR,3.493,109.2
2025-01-30,5,PQR,3.343,143.9
2025-01-30,5,NQR,1.172,34.3
2025-01-30,5,SR,12.717,139.3
2025-01-30,6,PQR,4.165,160.7
2025-01-30,6,NQR,1.753,41.8
2025-01-30,6,SR,5.42,103.6
2025-01-31,1,PQR,2.728,92.9
2025-01-31,1,NQR,3.539,46.5
2025-01-31,1,SR,8.066,116.9
2025-01-31,2,PQR,2.827,84.0
2025-01-31,2,NQR,1.015,32.7
2025-01-31,2,SR,2.298,80.4
2025-01-31,3,PQR,3.67,113.7
2025-01-31,3,NQR,3.512,31.4
2025-01-31,3,SR,4.422,103.6
2025-01-31,4,PQR,5.765,126.3
2025-01-31,4,NQR,1.855,53.1
2025-01-31,4,SR,3.344,140.5
2025-01-31,5,PQR,1.989,126.1
2025-01-31,5,NQR,11.1,47.8
2025-01-31,5,SR,4.936,137.7
2025-01-31,6,PQR,6.046,109.7
2025-01-31,6,NQR,0.814,39.6
2025-01-31,6,SR,1.719,145.6
2025-02-01,1,PQR,3.673,158.5
2025-02-01,1,NQR,0.671,34.2
2025-02-01,1,SR,2.316,83.8
2025-02-01,2,PQR,1.731,87.7
2025-02-01,2,NQR,2.046,44.2
2025-02-01,2,SR,5.061,95.7
2025-02-01,3,PQR,2.43,92.3
2025-02-01,3,NQR,2.673,45.6
2025-02-01,3,SR,3.461,127.2
2025-02-01,4,PQR,1.063,105.7
2025-02-01,4,NQR,1.188,28.3
2025-02-01,4,SR,3.101,77.2
2025-02-01,5,PQR,7.341,151.4
2025-02-01,5,NQR,3.028,46.6
2025-02-01,5,SR,12.928,133.9
2025-02-01,6,PQR,3.557,112.1
2025-02-01,6,NQR,1.742,49.9
2025-02-01,6,SR,7.48,104.7
2025-02-02,1,PQR,1.247,163.8
2025-02-02,1,NQR,0.965,53.2
2025-02-02,1,SR,8.737,103.5
2025-02-02,2,PQR,1.076,149.1
2025-02-02,2,NQR,1.18,44.3
2025-02-02,2,SR,3.758,78.3
2025-02-02,3,PQR,2.135,89.2
2025-02-02,3,NQR,1.356,44.6
2025-02-02,3,SR,9.514,146.8
2025-02-02,4,PQR,5.921,126.8
2025-02-02,4,NQR,3.293,29.8
2025-02-02,4,SR,3.713,132.2
2025-02-02,5,PQR,3.832,123.8
2025-02-02,5,NQR,1.737,49.6
2025-02-02,5,SR,9.051,141.9
2025-02-02,6,PQR,1.681,86.6
2025-02-02,6,NQR,1.759,53.8
2025-02-02,6,SR,4.187,82.6
2025-02-03,1,PQR,1.14,109.3
2025-02-03,1,NQR,2.294,30.8
2025-02-03,1,SR,5.204,134.3
2025-02-03,2,PQR,1.509,107.7
2025-02-03,2,NQR,1.301,47.3
2025-02-03,2,SR,2.413,124.1
2025-02-03,3,PQR,5.994,113.0
2025-02-03,3,NQR,2.186,31.4
2025-02-03,3,SR,2.339,136.7
2025-02-03,4,PQR,2.078,151.1
2025-02-03,4,NQR,1.604,40.7
2025-02-03,4,SR,5.848,123.7
2025-02-03,5,PQR,9.332,116.8
2025-02-03,5,NQR,2.458,36.4
2025-02-03,5,SR,2.727,119.0
2025-02-03,6,PQR,3.933,152.7
2025-02-03,6,NQR,1.788,55.9
2025-02-03,6,SR,7.597,94.9
2025-02-04,1,PQR,2.218,99.3
2025-02-04,1,NQR,0.547,49.9
2025-02-04,1,SR,2.676,143.4
2025-02-04,2,PQR,1.892,95.9
2025-02-04,2,NQR,0.925,31.5
2025-02-04,2,SR,2.157,85.4
2025-02-04,3,PQR,2.061,160.1
2025-02-04,3,NQR,1.566,33.2
2025-02-04,3,SR,3.514,91.5
2025-02-04,4,PQR,2.844,145.1
2025-02-04,4,NQR,1.435,30.0
2025-02-04,4,SR,10.348,139.0
2025-02-04,5,PQR,6.684,103.1
2025-02-04,5,NQR,2.201,45.3
2025-02-04,5,SR,15.757,82.1
2025-02-04,6,PQR,2.297,133.7
2025-02-04,6,NQR,1.984,45.1
2025-02-04,6,SR,4.045,90.4
2025-02-05,1,PQR,0.544,91.4
2025-02-05,1,NQR,0.777,34.2
2025-02-05,1,SR,2.771,146.2
2025-02-05,2,PQR,1.303,152.5
2025-02-05,2,NQR,1.246,39.2
2025-02-05,2,SR,1.48,80.0
2025-02-05,3,PQR,1.646,136.4
2025-02-05,3,NQR,3.74,31.5
2025-02-05,3,SR,2.448,98.6
2025-02-05,4,PQR,3.871,86.4
2025-02-05,4,NQR,2.18,47.5
2025-02-05,4,SR,2.836,78.2
2025-02-05,5,PQR,1.861,158.4
2025-02-05,5,NQR,2.23,41.6
2025-02-05,5,SR,6.683,143.2
2025-02-05,6,PQR,2.265,166.8
2025-02-05,6,NQR,3.381,34.4
2025-02-05,6,SR,8.358,108.2
2025-02-06,1,PQR,2.977,84.1
2025-02-06,1,NQR,3.467,38.1
2025-02-06,1,SR,2.562,80.4
2025-02-06,2,PQR,1.385,148.9
2025-02-06,2,NQR,1.488,48.1
2025-02-06,2,SR,3.004,127.2
2025-02-06,3,PQR,2.174,148.2
2025-02-06,3,NQR,1.878,47.7
2025-02-06,3,SR,7.56,128.9
2025-02-06,4,PQR,7.673,162.4
2025-02-06,4,NQR,3.337,41.6
2025-02-06,4,SR,5.698,126.6
2025-02-06,5,PQR,3.951,142.4
2025-02-06,5,NQR,1.87,41.2
2025-02-06,5,SR,11.484,96.0
2025-02-06,6,PQR,1.879,128.1
2025-02-06,6,NQR,2.524,45.8
2025-02-06,6,SR,5.01,147.3
2025-02-07,1,PQR,5.285,135.2
2025-02-07,1,NQR,1.706,39.9
2025-02-07,1,SR,3.135,123.2
2025-02-07,2,PQR,3.28,120.1
2025-02-07,2,NQR,0.402,32.7
2025-02-07,2,SR,2.867,100.6
2025-02-07,3,PQR,4.737,167.8
2025-02-07,3,NQR,3.204,36.4
