date,period,price_gbp_mwh
2025-01-07,34,143.4
2025-01-07,35,140.16
2025-01-07,36,145.2
2025-01-07,37,141.83
2025-01-07,38,131.97
2025-01-07,39,126.03
2025-01-07,40,111.09
2025-01-07,41,106.96
2025-01-07,42,99.36
2025-01-07,43,79.31
2025-01-07,44,90.92
2025-01-07,45,70.1
2025-01-07,46,76.58
2025-01-07,47,80.32
2025-01-07,48,72.43
2025-01-08,1,69.61
2025-01-08,2,77.59
2025-01-08,3,70.11
2025-01-08,4,69.52
2025-01-08,5,61.95
2025-01-08,6,61.12
2025-01-08,7,65.12
2025-01-08,8,65.98
2025-01-08,9,58.75
2025-01-08,10,67.04
2025-01-08,11,70.34
2025-01-08,12,73.05
2025-01-08,13,75.42
2025-01-08,14,82.14
2025-01-08,15,89.42
2025-01-08,16,95.67
2025-01-08,17,101.45
2025-01-08,18,105.29
2025-01-08,19,100.19
2025-01-08,20,99.08
2025-01-08,21,102.12
2025-01-08,22,102.77
2025-01-08,23,99.25
2025-01-08,24,105.4
2025-01-08,25,107.79
2025-01-08,26,110.86
2025-01-08,27,114.78
2025-01-08,28,106.44
2025-01-08,29,112.79
2025-01-08,30,116.58
2025-01-08,31,121.23
2025-01-08,32,125.34
2025-01-08,33,128.87
2025-01-08,34,141.36
2025-01-08,35,141.8
2025-01-08,36,145.48
2025-01-08,37,138.12
2025-01-08,38,129.51
2025-01-08,39,125.28
2025-01-08,40,114.86
2025-01-08,41,107.29
2025-01-08,42,105.94
2025-01-08,43,92.13
2025-01-08,44,88.14
2025-01-08,45,78.01
2025-01-08,46,73.93
2025-01-08,47,82.58
2025-01-08,48,70.04
2025-01-09,1,72.51
2025-01-09,2,73.61
2025-01-09,3,69.88
2025-01-09,4,71.51
2025-01-09,5,69.38
2025-01-09,6,71.23
2025-01-09,7,66.43
2025-01-09,8,68.94
2025-01-09,9,64.97
2025-01-09,10,65.38
2025-01-09,11,77.13
2025-01-09,12,74.8
2025-01-09,13,81.92
2025-01-09,14,84.82
2025-01-09,15,87.82
2025-01-09,16,95.39
2025-01-09,17,104.81
2025-01-09,18,103.23
2025-01-09,19,94.56
2025-01-09,20,100.08
2025-01-09,21,107.54
2025-01-09,22,99.51
2025-01-09,23,93.82
2025-01-09,24,109.85
2025-01-09,25,106.64
2025-01-09,26,105.46
2025-01-09,27,106.22
2025-01-09,28,114.28
2025-01-09,29,110.61
2025-01-09,30,121.17
2025-01-09,31,123.84
2025-01-09,32,128.96
2025-01-09,33,135.45
2025-01-09,34,140.34
2025-01-09,35,149.11
2025-01-09,36,141.73
2025-01-09,37,134.87
2025-01-09,38,136.42
2025-01-09,39,126.92
2025-01-09,40,116.22
2025-01-09,41,106.64
2025-01-09,42,95.95
2025-01-09,43,94.21
2025-01-09,44,86.05
2025-01-09,45,80.41
2025-01-09,46,77.86
2025-01-09,47,84.36
2025-01-09,48,66.82
2025-01-10,1,71.57
2025-01-10,2,67.46
2025-01-10,3,62.11
2025-01-10,4,69.78
2025-01-10,5,68.74
2025-01-10,6,68.54
2025-01-10,7,58.86
2025-01-10,8,66.53
2025-01-10,9,68.92
2025-01-10,10,63.69
2025-01-10,11,70.37
2025-01-10,12,73.49
2025-01-10,13,86.09
2025-01-10,14,92.05
2025-01-10,15,83.54
2025-01-10,16,105.35
2025-01-10,17,95.44
2025-01-10,18,104.97
2025-01-10,19,105.32
2025-01-10,20,96.99
2025-01-10,21,102.42
2025-01-10,22,99.97
2025-01-10,23,103.27
2025-01-10,24,103.23
2025-01-10,25,108.73
2025-01-10,26,106.07
2025-01-10,27,107.07
2025-01-10,28,114.37
2025-01-10,29,115.13
2025-01-10,30,119.55
2025-01-10,31,119.05
2025-01-10,32,123.85
2025-01-10,33,132.64
2025-01-10,34,138.6
2025-01-10,35,148.12
2025-01-10,36,149.15
2025-01-10,37,140.78
2025-01-10,38,139.72
2025-01-10,39,129.91
2025-01-10,40,115.31
2025-01-10,41,101.76
2025-01-10,42,103.56
2025-01-10,43,90.84
2025-01-10,44,86.76
2025-01-10,45,81.02
2025-01-10,46,75.57
2025-01-10,47,70.43
2025-01-10,48,76.32
2025-01-11,1,60.06
2025-01-11,2,62.74
2025-01-11,3,62.5
2025-01-11,4,56.0
2025-01-11,5,58.06
2025-01-11,6,54.87
2025-01-11,7,55.13
2025-01-11,8,53.01
2025-01-11,9,63.35
2025-01-11,10,63.95
2025-01-11,11,64.06
2025-01-11,12,72.99
2025-01-11,13,68.54
2025-01-11,14,86.38
2025-01-11,15,78.48
2025-01-11,16,84.97
2025-01-11,17,85.64
2025-01-11,18,90.43
2025-01-11,19,92.63
2025-01-11,20,88.43
2025-01-11,21,95.52
2025-01-11,22,89.33
2025-01-11,23,90.03
2025-01-11,24,86.42
2025-01-11,25,93.17
2025-01-11,26,92.57
2025-01-11,27,92.4
2025-01-11,28,93.71
2025-01-11,29,109.99
2025-01-11,30,101.6
2025-01-11,31,101.31
2025-01-11,32,109.9
2025-01-11,33,118.55
2025-01-11,34,126.38
2025-01-11,35,129.83
2025-01-11,36,130.55
2025-01-11,37,121.88
2025-01-11,38,119.31
2025-01-11,39,106.03
2025-01-11,40,98.17
2025-01-11,41,88.79
2025-01-11,42,80.86
2025-01-11,43,84.44
2025-01-11,44,78.68
2025-01-11,45,76.42
2025-01-11,46,69.81
2025-01-11,47,70.27
2025-01-11,48,57.9
2025-01-12,1,63.17
2025-01-12,2,61.53
2025-01-12,3,58.34
2025-01-12,4,63.12
2025-01-12,5,56.55
2025-01-12,6,55.69
2025-01-12,7,61.16
2025-01-12,8,55.37
2025-01-12,9,58.15
2025-01-12,10,53.38
2025-01-12,11,64.74
2025-01-12,12,72.88
2025-01-12,13,72.2
2025-01-12,14,80.11
2025-01-12,15,76.03
2025-01-12,16,84.91
2025-01-12,17,83.48
2025-01-12,18,88.05
2025-01-12,19,92.4
2025-01-12,20,89.31
2025-01-12,21,82.78
2025-01-12,22,83.14
2025-01-12,23,83.44
2025-01-12,24,92.04
2025-01-12,25,99.77
2025-01-12,26,98.57
2025-01-12,27,87.27
2025-01-12,28,102.52
2025-01-12,29,103.07
2025-01-12,30,96.49
2025-01-12,31,105.94
2025-01-12,32,117.1
2025-01-12,33,120.98
2025-01-12,34,118.98
2025-01-12,35,130.08
2025-01-12,36,119.32
2025-01-12,37,123.6
2025-01-12,38,122.53
2025-01-12,39,109.63
2025-01-12,40,98.67
2025-01-12,41,96.04
2025-01-12,42,89.53
2025-01-12,43,85.44
2025-01-12,44,79.44
2025-01-12,45,76.86
2025-01-12,46,72.6
2025-01-12,47,68.24
2025-01-12,48,65.32
2025-01-13,1,69.05
2025-01-13,2,68.93
2025-01-13,3,71.04
2025-01-13,4,65.8
2025-01-13,5,63.78
2025-01-13,6,64.41
2025-01-13,7,59.97
2025-01-13,8,66.97
2025-01-13,9,59.11
2025-01-13,10,66.08
2025-01-13,11,73.41
2025-01-13,12,75.22
2025-01-13,13,81.14
2025-01-13,14,84.15
2025-01-13,15,94.93
2025-01-13,16,99.13
2025-01-13,17,100.95
2025-01-13,18,104.82
2025-01-13,19,104.5
2025-01-13,20,99.28
2025-01-13,21,95.13
2025-01-13,22,102.15
2025-01-13,23,103.3
2025-01-13,24,106.73
2025-01-13,25,100.26
2025-01-13,26,102.21
2025-01-13,27,109.65
2025-01-13,28,109.77
2025-01-13,29,105.34
2025-01-13,30,118.19
2025-01-13,31,114.38
2025-01-13,32,124.32
2025-01-13,33,140.4
2025-01-13,34,148.47
2025-01-13,35,140.2
2025-01-13,36,144.02
2025-01-13,37,141.66
2025-01-13,38,141.21
2025-01-13,39,122.54
2025-01-13,40,112.5
2025-01-13,41,111.31
2025-01-13,42,95.82
2025-01-13,43,94.03
2025-01-13,44,80.4
2025-01-13,45,81.75
2025-01-13,46,72.54
2025-01-13,47,72.13
2025-01-13,48,77.19
2025-01-14,1,71.29
2025-01-14,2,69.27
2025-01-14,3,59.15
2025-01-14,4,65.83
2025-01-14,5,65.14
2025-01-14,6,64.57
2025-01-14,7,70.73
2025-01-14,8,60.52
2025-01-14,9,62.97
2025-01-14,10,57.41
2025-01-14,11,68.46
2025-01-14,12,72.43
2025-01-14,13,76.74
2025-01-14,14,88.85
2025-01-14,15,93.7
2025-01-14,16,95.75
2025-01-14,17,97.69
2025-01-14,18,105.22
2025-01-14,19,101.43
2025-01-14,20,97.78
2025-01-14,21,93.65
2025-01-14,22,98.71
2025-01-14,23,104.14
2025-01-14,24,111.49
2025-01-14,25,104.26
2025-01-14,26,102.78
2025-01-14,27,103.08
2025-01-14,28,112.27
2025-01-14,29,105.83
2025-01-14,30,118.9
2025-01-14,31,125.07
2025-01-14,32,129.86
2025-01-14,33,134.13
2025-01-14,34,143.45
2025-01-14,35,145.76
2025-01-14,36,142.23
2025-01-14,37,148.9
2025-01-14,38,132.69
2025-01-14,39,127.62
2025-01-14,40,104.75
2025-01-14,41,110.23
2025-01-14,42,103.21
2025-01-14,43,91.27
2025-01-14,44,88.55
2025-01-14,45,84.67
2025-01-14,46,76.62
2025-01-14,47,78.54
2025-01-14,48,70.6
2025-01-15,1,73.49
2025-01-15,2,66.88
2025-01-15,3,70.9
2025-01-15,4,65.19
2025-01-15,5,64.64
2025-01-15,6,67.66
2025-01-15,7,58.55
2025-01-15,8,71.78
2025-01-15,9,67.0
2025-01-15,10,72.99
2025-01-15,11,66.08
2025-01-15,12,70.32
2025-01-15,13,74.14
2025-01-15,14,85.42
2025-01-15,15,90.53
2025-01-15,16,93.59
2025-01-15,17,95.12
2025-01-15,18,96.05
2025-01-15,19,101.32
2025-01-15,20,99.19
2025-01-15,21,97.78
2025-01-15,22,106.67
2025-01-15,23,100.8
2025-01-15,24,107.46
2025-01-15,25,101.89
2025-01-15,26,106.83
2025-01-15,27,107.6
2025-01-15,28,103.28
2025-01-15,29,118.61
2025-01-15,30,116.17
2025-01-15,31,124.79
2025-01-15,32,125.11
2025-01-15,33,134.35
2025-01-15,34,137.72
2025-01-15,35,150.02
2025-01-15,36,146.6
2025-01-15,37,142.97
2025-01-15,38,139.53
2025-01-15,39,129.15
2025-01-15,40,117.49
2025-01-15,41,99.44
2025-01-15,42,94.55
2025-01-15,43,87.14
2025-01-15,44,89.23
2025-01-15,45,83.13
2025-01-15,46,73.63
2025-01-15,47,75.6
2025-01-15,48,67.86
2025-01-16,1,72.76
2025-01-16,2,70.71
2025-01-16,3,65.04
2025-01-16,4,66.23
2025-01-16,5,67.21
2025-01-16,6,68.08
2025-01-16,7,64.69
2025-01-16,8,69.7
2025-01-16,9,66.3
2025-01-16,10,71.03
2025-01-16,11,68.42
2025-01-16,12,66.76
2025-01-16,13,79.86
2025-01-16,14,87.32
2025-01-16,15,92.56
2025-01-16,16,97.13
2025-01-16,17,97.78
2025-01-16,18,97.89
2025-01-16,19,103.72
2025-01-16,20,102.75
2025-01-16,21,98.27
2025-01-16,22,104.91
2025-01-16,23,97.59
2025-01-16,24,100.05
2025-01-16,25,110.56
2025-01-16,26,109.32
2025-01-16,27,106.38
2025-01-16,28,111.21
2025-01-16,29,113.51
2025-01-16,30,105.72
2025-01-16,31,118.17
2025-01-16,32,127.91
2025-01-16,33,133.58
2025-01-16,34,142.17
2025-01-16,35,149.59
2025-01-16,36,144.06
2025-01-16,37,137.27
2025-01-16,38,135.4
2025-01-16,39,123.22
2025-01-16,40,113.8
2025-01-16,41,103.95
2025-01-16,42,106.3
2025-01-16,43,82.19
2025-01-16,44,84.76
2025-01-16,45,82.43
2025-01-16,46,76.07
2025-01-16,47,79.96
2025-01-16,48,77.09
2025-01-17,1,65.22
2025-01-17,2,63.04
2025-01-17,3,69.71
2025-01-17,4,63.45
2025-01-17,5,66.97
2025-01-17,6,68.33
2025-01-17,7,59.98
2025-01-17,8,59.73
2025-01-17,9,72.96
2025-01-17,10,69.26
2025-01-17,11,68.7
2025-01-17,12,70.27
2025-01-17,13,76.73
2025-01-17,14,79.64
2025-01-17,15,93.79
2025-01-17,16,92.33
2025-01-17,17,103.54
2025-01-17,18,99.5
2025-01-17,19,97.33
2025-01-17,20,99.33
2025-01-17,21,90.01
2025-01-17,22,99.98
2025-01-17,23,100.44
2025-01-17,24,105.67
2025-01-17,25,96.46
2025-01-17,26,110.48
2025-01-17,27,111.09
2025-01-17,28,115.06
2025-01-17,29,112.67
2025-01-17,30,120.75
2025-01-17,31,115.9
2025-01-17,32,130.96
2025-01-17,33,131.91
2025-01-17,34,134.57
2025-01-17,35,140.57
2025-01-17,36,145.36
2025-01-17,37,138.19
2025-01-17,38,135.59
2025-01-17,39,117.28
2025-01-17,40,105.9
2025-01-17,41,110.6
2025-01-17,42,100.94
2025-01-17,43,86.95
2025-01-17,44,86.3
2025-01-17,45,86.51
2025-01-17,46,80.86
2025-01-17,47,76.94
2025-01-17,48,78.21
2025-01-18,1,65.76
2025-01-18,2,55.17
2025-01-18,3,57.22
2025-01-18,4,55.33
2025-01-18,5,57.95
2025-01-18,6,63.88
2025-01-18,7,65.33
2025-01-18,8,54.27
2025-01-18,9,60.41
2025-01-18,10,61.94
2025-01-18,11,63.47
2025-01-18,12,66.71
2025-01-18,13,70.53
2025-01-18,14,81.02
2025-01-18,15,83.82
2025-01-18,16,79.73
2025-01-18,17,90.43
2025-01-18,18,92.53
2025-01-18,19,90.57
2025-01-18,20,93.43
2025-01-18,21,89.19
2025-01-18,22,89.2
2025-01-18,23,89.45
2025-01-18,24,82.0
2025-01-18,25,91.19
2025-01-18,26,90.45
2025-01-18,27,90.11
2025-01-18,28,102.57
2025-01-18,29,101.34
2025-01-18,30,102.55
2025-01-18,31,104.9
2025-01-18,32,113.9
2025-01-18,33,122.74
2025-01-18,34,120.91
2025-01-18,35,127.62
2025-01-18,36,131.35
2025-01-18,37,116.75
2025-01-18,38,117.75
2025-01-18,39,107.84
2025-01-18,40,100.13
2025-01-18,41,90.48
2025-01-18,42,86.18
2025-01-18,43,87.89
2025-01-18,44,74.65
2025-01-18,45,73.7
2025-01-18,46,77.65
2025-01-18,47,64.98
2025-01-18,48,72.22
2025-01-19,1,65.67
2025-01-19,2,68.94
2025-01-19,3,51.84
2025-01-19,4,64.76
2025-01-19,5,46.76
2025-01-19,6,61.11
2025-01-19,7,57.2
2025-01-19,8,48.11
2025-01-19,9,60.07
2025-01-19,10,64.29
2025-01-19,11,63.36
2025-01-19,12,67.44
2025-01-19,13,67.65
2025-01-19,14,66.81
2025-01-19,15,82.16
2025-01-19,16,90.95
2025-01-19,17,91.75
2025-01-19,18,80.99
2025-01-19,19,83.23
2025-01-19,20,85.5
2025-01-19,21,82.04
2025-01-19,22,88.55
2025-01-19,23,90.52
2025-01-19,24,84.33
2025-01-19,25,94.6
2025-01-19,26,95.51
2025-01-19,27,92.64
2025-01-19,28,96.12
2025-01-19,29,91.5
2025-01-19,30,101.32
2025-01-19,31,107.16
2025-01-19,32,113.37
2025-01-19,33,120.27
2025-01-19,34,125.17
2025-01-19,35,126.55
2025-01-19,36,128.99
2025-01-19,37,128.47
2025-01-19,38,117.57
2025-01-19,39,110.8
2025-01-19,40,99.9
2025-01-19,41,89.88
2025-01-19,42,87.7
2025-01-19,43,77.96
2025-01-19,44,77.47
2025-01-19,45,72.63
2025-01-19,46,68.44
2025-01-19,47,65.85
2025-01-19,48,62.91
2025-01-20,1,64.18
2025-01-20,2,63.66
2025-01-20,3,70.62
2025-01-20,4,55.55
2025-01-20,5,70.62
2025-01-20,6,57.87
2025-01-20,7,68.39
2025-01-20,8,61.78
2025-01-20,9,70.41
2025-01-20,10,80.65
2025-01-20,11,61.24
2025-01-20,12,76.74
2025-01-20,13,71.49
2025-01-20,14,86.06
2025-01-20,15,89.37
2025-01-20,16,95.89
2025-01-20,17,95.46
2025-01-20,18,104.16
2025-01-20,19,95.64
2025-01-20,20,105.94
2025-01-20,21,98.81
2025-01-20,22,94.79
2025-01-20,23,107.43
2025-01-20,24,102.04
2025-01-20,25,111.57
2025-01-20,26,110.65
2025-01-20,27,104.55
2025-01-20,28,109.64
2025-01-20,29,113.3
2025-01-20,30,122.72
2025-01-20,31,123.46
2025-01-20,32,128.73
2025-01-20,33,134.11
2025-01-20,34,140.88
2025-01-20,35,150.19
2025-01-20,36,145.26
2025-01-20,37,139.82
2025-01-20,38,131.74
2025-01-20,39,122.22
2025-01-20,40,108.73
2025-01-20,41,102.05
2025-01-20,42,103.26
2025-01-20,43,90.26
2025-01-20,44,89.07
2025-01-20,45,72.47
2025-01-20,46,81.41
2025-01-20,47,75.66
2025-01-20,48,71.86
2025-01-21,1,78.77
2025-01-21,2,70.54
2025-01-21,3,66.87
2025-01-21,4,69.52
2025-01-21,5,69.73
2025-01-21,6,62.86
2025-01-21,7,65.88
2025-01-21,8,69.02
2025-01-21,9,61.55
2025-01-21,10,67.84
2025-01-21,11,65.85
2025-01-21,12,70.0
2025-01-21,13,76.45
2025-01-21,14,86.24
2025-01-21,15,88.88
2025-01-21,16,92.75
2025-01-21,17,99.28
2025-01-21,18,96.42
2025-01-21,19,103.12
2025-01-21,20,105.47
2025-01-21,21,100.09
2025-01-21,22,99.56
2025-01-21,23,102.51
2025-01-21,24,94.16
2025-01-21,25,106.05
2025-01-21,26,118.14
2025-01-21,27,107.21
2025-01-21,28,109.47
2025-01-21,29,115.75
2025-01-21,30,123.16
2025-01-21,31,125.57
2025-01-21,32,119.36
2025-01-21,33,137.12
2025-01-21,34,151.33
2025-01-21,35,147.41
2025-01-21,36,140.58
2025-01-21,37,142.48
2025-01-21,38,128.83
2025-01-21,39,129.32
2025-01-21,40,110.48
2025-01-21,41,105.31
2025-01-21,42,93.8
2025-01-21,43,88.87
2025-01-21,44,92.17
2025-01-21,45,82.77
2025-01-21,46,76.87
2025-01-21,47,71.7
2025-01-21,48,66.27
2025-01-22,1,71.46
2025-01-22,2,62.59
2025-01-22,3,69.76
2025-01-22,4,64.81
2025-01-22,5,70.72
2025-01-22,6,67.48
2025-01-22,7,69.65
2025-01-22,8,61.25
2025-01-22,9,64.68
2025-01-22,10,62.79
2025-01-22,11,67.46
2025-01-22,12,78.91
2025-01-22,13,84.62
2025-01-22,14,79.7
2025-01-22,15,88.3
2025-01-22,16,95.0
2025-01-22,17,101.38
2025-01-22,18,93.93
2025-01-22,19,94.95
2025-01-22,20,102.86
2025-01-22,21,92.58
2025-01-22,22,98.54
2025-01-22,23,101.63
2025-01-22,24,103.9
2025-01-22,25,103.3
2025-01-22,26,104.23
2025-01-22,27,111.04
2025-01-22,28,111.05
2025-01-22,29,110.14
2025-01-22,30,116.69
2025-01-22,31,123.16
2025-01-22,32,134.81
2025-01-22,33,137.96
2025-01-22,34,145.84
2025-01-22,35,142.43
2025-01-22,36,143.04
2025-01-22,37,140.36
2025-01-22,38,133.33
2025-01-22,39,120.31
2025-01-22,40,119.32
2025-01-22,41,108.51
2025-01-22,42,95.97
2025-01-22,43,93.59
2025-01-22,44,87.09
2025-01-22,45,85.2
2025-01-22,46,73.7
2025-01-22,47,75.67
2025-01-22,48,73.5
2025-01-23,1,65.68
2025-01-23,2,73.87
2025-01-23,3,67.47
2025-01-23,4,71.22
2025-01-23,5,64.84
2025-01-23,6,64.55
2025-01-23,7,60.1
2025-01-23,8,68.3
2025-01-23,9,62.64
2025-01-23,10,65.79
2025-01-23,11,70.25
2025-01-23,12,74.36
2025-01-23,13,71.81
2025-01-23,14,83.33
2025-01-23,15,93.27
2025-01-23,16,93.75
2025-01-23,17,98.09
2025-01-23,18,101.58
