date,period,product,avail_gbp_mw_h
2025-01-02,5,BRpos,3.656
2025-01-02,5,BRneg,2.915
2025-01-02,6,BRpos,1.694
2025-01-02,6,BRneg,1.131
2025-01-02,7,BRpos,3.944
2025-01-02,7,BRneg,0.856
2025-01-02,8,BRpos,2.816
2025-01-02,8,BRneg,1.988
2025-01-02,9,BRpos,2.585
2025-01-02,9,BRneg,1.721
2025-01-02,10,BRpos,4.421
2025-01-02,10,BRneg,1.178
2025-01-02,11,BRpos,5.038
2025-01-02,11,BRneg,1.354
2025-01-02,12,BRpos,3.303
2025-01-02,12,BRneg,2.349
2025-01-02,13,BRpos,1.787
2025-01-02,13,BRneg,0.566
2025-01-02,14,BRpos,3.064
2025-01-02,14,BRneg,1.767
2025-01-02,15,BRpos,3.376
2025-01-02,15,BRneg,2.973
2025-01-02,16,BRpos,2.665
2025-01-02,16,BRneg,0.83
2025-01-02,17,BRpos,5.0
2025-01-02,17,BRneg,3.507
2025-01-02,18,BRpos,2.18
2025-01-02,18,BRneg,2.002
2025-01-02,19,BRpos,5.288
2025-01-02,19,BRneg,1.232
2025-01-02,20,BRpos,2.594
2025-01-02,20,BRneg,1.96
2025-01-02,21,BRpos,4.099
2025-01-02,21,BRneg,2.929
2025-01-02,22,BRpos,5.629
2025-01-02,22,BRneg,1.393
2025-01-02,23,BRpos,3.283
2025-01-02,23,BRneg,1.892
2025-01-02,24,BRpos,3.593
2025-01-02,24,BRneg,1.738
2025-01-02,25,BRpos,4.046
2025-01-02,25,BRneg,1.598
2025-01-02,26,BRpos,1.703
2025-01-02,26,BRneg,0.636
2025-01-02,27,BRpos,3.052
2025-01-02,27,BRneg,3.866
2025-01-02,28,BRpos,4.072
2025-01-02,28,BRneg,1.346
2025-01-02,29,BRpos,4.602
2025-01-02,29,BRneg,1.388
2025-01-02,30,BRpos,3.492
2025-01-02,30,BRneg,5.204
2025-01-02,31,BRpos,3.629
2025-01-02,31,BRneg,2.1
2025-01-02,32,BRpos,2.452
2025-01-02,32,BRneg,1.962
2025-01-02,33,BRpos,4.588
2025-01-02,33,BRneg,2.182
2025-01-02,34,BRpos,4.899
2025-01-02,34,BRneg,3.173
2025-01-02,35,BRpos,2.444
2025-01-02,35,BRneg,2.224
2025-01-02,36,BRpos,10.293
2025-01-02,36,BRneg,3.87
2025-01-02,37,BRpos,1.468
2025-01-02,37,BRneg,2.026
2025-01-02,38,BRpos,4.332
2025-01-02,38,BRneg,3.189
2025-01-02,39,BRpos,5.827
2025-01-02,39,BRneg,2.489
2025-01-02,40,BRpos,4.704
2025-01-02,40,BRneg,1.186
2025-01-02,41,BRpos,2.251
2025-01-02,41,BRneg,1.084
2025-01-02,42,BRpos,6.55
2025-01-02,42,BRneg,1.325
2025-01-02,43,BRpos,3.912
2025-01-02,43,BRneg,3.269
2025-01-02,44,BRpos,2.846
2025-01-02,44,BRneg,1.982
2025-01-02,45,BRpos,2.733
2025-01-02,45,BRneg,2.71
2025-01-02,46,BRpos,1.63
2025-01-02,46,BRneg,1.115
2025-01-02,47,BRpos,3.107
2025-01-02,47,BRneg,1.505
2025-01-02,48,BRpos,4.787
2025-01-02,48,BRneg,2.179
2025-01-03,1,BRpos,2.528
2025-01-03,1,BRneg,0.895
2025-01-03,2,BRpos,10.183
2025-01-03,2,BRneg,1.955
2025-01-03,3,BRpos,5.033
2025-01-03,3,BRneg,2.144
2025-01-03,4,BRpos,2.865
2025-01-03,4,BRneg,1.304
2025-01-03,5,BRpos,2.835
2025-01-03,5,BRneg,1.337
2025-01-03,6,BRpos,5.349
2025-01-03,6,BRneg,0.587
2025-01-03,7,BRpos,1.227
2025-01-03,7,BRneg,1.049
2025-01-03,8,BRpos,5.751
2025-01-03,8,BRneg,1.449
2025-01-03,9,BRpos,5.588
2025-01-03,9,BRneg,1.043
2025-01-03,10,BRpos,3.154
2025-01-03,10,BRneg,2.165
2025-01-03,11,BRpos,2.187
2025-01-03,11,BRneg,1.609
2025-01-03,12,BRpos,1.724
2025-01-03,12,BRneg,2.203
2025-01-03,13,BRpos,3.337
2025-01-03,13,BRneg,2.688
2025-01-03,14,BRpos,2.301
2025-01-03,14,BRneg,3.123
2025-01-03,15,BRpos,2.086
2025-01-03,15,BRneg,0.978
2025-01-03,16,BRpos,4.461
2025-01-03,16,BRneg,1.487
2025-01-03,17,BRpos,4.946
2025-01-03,17,BRneg,2.327
2025-01-03,18,BRpos,5.47
2025-01-03,18,BRneg,2.761
2025-01-03,19,BRpos,3.644
2025-01-03,19,BRneg,2.46
2025-01-03,20,BRpos,2.948
2025-01-03,20,BRneg,1.083
2025-01-03,21,BRpos,2.207
2025-01-03,21,BRneg,4.068
2025-01-03,22,BRpos,2.303
2025-01-03,22,BRneg,2.377
2025-01-03,23,BRpos,6.116
2025-01-03,23,BRneg,2.154
2025-01-03,24,BRpos,4.063
2025-01-03,24,BRneg,0.725
2025-01-03,25,BRpos,1.959
2025-01-03,25,BRneg,3.449
2025-01-03,26,BRpos,3.909
2025-01-03,26,BRneg,2.971
2025-01-03,27,BRpos,2.131
2025-01-03,27,BRneg,1.935
2025-01-03,28,BRpos,3.406
2025-01-03,28,BRneg,1.561
2025-01-03,29,BRpos,3.503
2025-01-03,29,BRneg,1.81
2025-01-03,30,BRpos,2.141
2025-01-03,30,BRneg,1.512
2025-01-03,31,BRpos,4.387
2025-01-03,31,BRneg,1.93
2025-01-03,32,BRpos,5.455
2025-01-03,32,BRneg,2.606
2025-01-03,33,BRpos,2.383
2025-01-03,33,BRneg,0.994
2025-01-03,34,BRpos,9.952
2025-01-03,34,BRneg,4.247
2025-01-03,35,BRpos,4.83
2025-01-03,35,BRneg,2.855
2025-01-03,36,BRpos,6.248
2025-01-03,36,BRneg,2.064
2025-01-03,37,BRpos,4.653
2025-01-03,37,BRneg,2.89
2025-01-03,38,BRpos,4.49
2025-01-03,38,BRneg,4.944
2025-01-03,39,BRpos,3.305
2025-01-03,39,BRneg,0.999
2025-01-03,40,BRpos,3.534
2025-01-03,40,BRneg,1.535
2025-01-03,41,BRpos,4.165
2025-01-03,41,BRneg,3.267
2025-01-03,42,BRpos,2.484
2025-01-03,42,BRneg,1.082
2025-01-03,43,BRpos,7.967
2025-01-03,43,BRneg,1.391
2025-01-03,44,BRpos,7.673
2025-01-03,44,BRneg,1.552
2025-01-03,45,BRpos,14.57
2025-01-03,45,BRneg,2.373
2025-01-03,46,BRpos,2.961
2025-01-03,46,BRneg,1.298
2025-01-03,47,BRpos,3.951
2025-01-03,47,BRneg,1.628
2025-01-03,48,BRpos,1.458
2025-01-03,48,BRneg,2.184
2025-01-04,1,BRpos,1.854
2025-01-04,1,BRneg,1.879
2025-01-04,2,BRpos,3.043
2025-01-04,2,BRneg,1.303
2025-01-04,3,BRpos,7.82
2025-01-04,3,BRneg,2.926
2025-01-04,4,BRpos,4.925
2025-01-04,4,BRneg,1.71
2025-01-04,5,BRpos,3.396
2025-01-04,5,BRneg,1.166
2025-01-04,6,BRpos,3.492
2025-01-04,6,BRneg,1.887
2025-01-04,7,BRpos,4.901
2025-01-04,7,BRneg,1.92
2025-01-04,8,BRpos,2.784
2025-01-04,8,BRneg,0.769
2025-01-04,9,BRpos,3.57
2025-01-04,9,BRneg,1.431
2025-01-04,10,BRpos,4.064
2025-01-04,10,BRneg,1.867
2025-01-04,11,BRpos,1.351
2025-01-04,11,BRneg,1.374
2025-01-04,12,BRpos,3.48
2025-01-04,12,BRneg,2.592
2025-01-04,13,BRpos,2.784
2025-01-04,13,BRneg,2.014
2025-01-04,14,BRpos,5.435
2025-01-04,14,BRneg,1.26
2025-01-04,15,BRpos,2.269
2025-01-04,15,BRneg,2.51
2025-01-04,16,BRpos,2.475
2025-01-04,16,BRneg,1.1
2025-01-04,17,BRpos,2.269
2025-01-04,17,BRneg,1.972
2025-01-04,18,BRpos,3.664
2025-01-04,18,BRneg,4.866
2025-01-04,19,BRpos,3.731
2025-01-04,19,BRneg,1.948
2025-01-04,20,BRpos,3.254
2025-01-04,20,BRneg,3.115
2025-01-04,21,BRpos,2.61
2025-01-04,21,BRneg,1.576
2025-01-04,22,BRpos,6.682
2025-01-04,22,BRneg,1.564
2025-01-04,23,BRpos,3.146
2025-01-04,23,BRneg,0.791
2025-01-04,24,BRpos,6.314
2025-01-04,24,BRneg,5.732
2025-01-04,25,BRpos,3.892
2025-01-04,25,BRneg,1.513
2025-01-04,26,BRpos,3.665
2025-01-04,26,BRneg,1.347
2025-01-04,27,BRpos,4.679
2025-01-04,27,BRneg,1.43
2025-01-04,28,BRpos,4.987
2025-01-04,28,BRneg,1.756
2025-01-04,29,BRpos,3.384
2025-01-04,29,BRneg,3.296
2025-01-04,30,BRpos,6.099
2025-01-04,30,BRneg,2.693
2025-01-04,31,BRpos,4.406
2025-01-04,31,BRneg,0.988
2025-01-04,32,BRpos,2.439
2025-01-04,32,BRneg,2.911
2025-01-04,33,BRpos,3.086
2025-01-04,33,BRneg,0.964
2025-01-04,34,BRpos,5.782
2025-01-04,34,BRneg,4.315
2025-01-04,35,BRpos,3.576
2025-01-04,35,BRneg,3.173
2025-01-04,36,BRpos,5.018
2025-01-04,36,BRneg,2.385
2025-01-04,37,BRpos,5.338
2025-01-04,37,BRneg,2.321
2025-01-04,38,BRpos,4.957
2025-01-04,38,BRneg,1.903
2025-01-04,39,BRpos,9.964
2025-01-04,39,BRneg,2.664
2025-01-04,40,BRpos,3.493
2025-01-04,40,BRneg,3.509
2025-01-04,41,BRpos,2.731
2025-01-04,41,BRneg,1.63
2025-01-04,42,BRpos,2.934
2025-01-04,42,BRneg,2.561
2025-01-04,43,BRpos,5.378
2025-01-04,43,BRneg,1.831
2025-01-04,44,BRpos,3.665
2025-01-04,44,BRneg,1.62
2025-01-04,45,BRpos,1.843
2025-01-04,45,BRneg,0.949
2025-01-04,46,BRpos,1.77
2025-01-04,46,BRneg,1.039
2025-01-04,47,BRpos,7.846
2025-01-04,47,BRneg,1.345
2025-01-04,48,BRpos,1.478
2025-01-04,48,BRneg,1.536
2025-01-05,1,BRpos,1.717
2025-01-05,1,BRneg,1.203
2025-01-05,2,BRpos,3.575
2025-01-05,2,BRneg,0.634
2025-01-05,3,BRpos,3.117
2025-01-05,3,BRneg,0.531
2025-01-05,4,BRpos,1.0
2025-01-05,4,BRneg,1.386
2025-01-05,5,BRpos,2.575
2025-01-05,5,BRneg,1.943
2025-01-05,6,BRpos,3.185
2025-01-05,6,BRneg,1.919
2025-01-05,7,BRpos,2.478
2025-01-05,7,BRneg,1.259
2025-01-05,8,BRpos,3.868
2025-01-05,8,BRneg,2.504
2025-01-05,9,BRpos,3.301
2025-01-05,9,BRneg,2.262
2025-01-05,10,BRpos,5.177
2025-01-05,10,BRneg,1.83
2025-01-05,11,BRpos,4.309
2025-01-05,11,BRneg,2.178
2025-01-05,12,BRpos,2.437
2025-01-05,12,BRneg,1.964
2025-01-05,13,BRpos,2.193
2025-01-05,13,BRneg,4.581
2025-01-05,14,BRpos,5.27
2025-01-05,14,BRneg,1.543
2025-01-05,15,BRpos,1.951
2025-01-05,15,BRneg,1.899
2025-01-05,16,BRpos,2.946
2025-01-05,16,BRneg,1.29
2025-01-05,17,BRpos,2.944
2025-01-05,17,BRneg,2.447
2025-01-05,18,BRpos,2.942
2025-01-05,18,BRneg,1.92
2025-01-05,19,BRpos,6.113
2025-01-05,19,BRneg,2.495
2025-01-05,20,BRpos,4.187
2025-01-05,20,BRneg,0.787
2025-01-05,21,BRpos,4.482
2025-01-05,21,BRneg,1.755
2025-01-05,22,BRpos,6.059
2025-01-05,22,BRneg,0.446
2025-01-05,23,BRpos,1.586
2025-01-05,23,BRneg,1.69
2025-01-05,24,BRpos,4.06
2025-01-05,24,BRneg,1.073
2025-01-05,25,BRpos,2.734
2025-01-05,25,BRneg,1.995
2025-01-05,26,BRpos,4.577
2025-01-05,26,BRneg,1.492
2025-01-05,27,BRpos,5.941
2025-01-05,27,BRneg,1.4
2025-01-05,28,BRpos,2.687
2025-01-05,28,BRneg,2.215
2025-01-05,29,BRpos,3.476
2025-01-05,29,BRneg,2.041
2025-01-05,30,BRpos,1.723
2025-01-05,30,BRneg,2.858
2025-01-05,31,BRpos,9.516
2025-01-05,31,BRneg,2.536
2025-01-05,32,BRpos,3.165
2025-01-05,32,BRneg,1.474
2025-01-05,33,BRpos,3.786
2025-01-05,33,BRneg,1.075
2025-01-05,34,BRpos,7.496
2025-01-05,34,BRneg,3.626
2025-01-05,35,BRpos,3.778
2025-01-05,35,BRneg,1.242
2025-01-05,36,BRpos,4.581
2025-01-05,36,BRneg,0.686
2025-01-05,37,BRpos,4.14
2025-01-05,37,BRneg,3.049
2025-01-05,38,BRpos,5.233
2025-01-05,38,BRneg,2.954
2025-01-05,39,BRpos,4.864
2025-01-05,39,BRneg,1.985
2025-01-05,40,BRpos,3.328
2025-01-05,40,BRneg,1.356
2025-01-05,41,BRpos,9.822
2025-01-05,41,BRneg,1.688
2025-01-05,42,BRpos,5.382
2025-01-05,42,BRneg,1.169
2025-01-05,43,BRpos,5.445
2025-01-05,43,BRneg,1.65
2025-01-05,44,BRpos,1.836
2025-01-05,44,BRneg,0.731
2025-01-05,45,BRpos,3.469
2025-01-05,45,BRneg,0.586
2025-01-05,46,BRpos,8.962
2025-01-05,46,BRneg,0.841
2025-01-05,47,BRpos,4.273
2025-01-05,47,BRneg,2.088
2025-01-05,48,BRpos,4.952
2025-01-05,48,BRneg,1.126
2025-01-06,1,BRpos,2.938
2025-01-06,1,BRneg,1.846
2025-01-06,2,BRpos,3.617
2025-01-06,2,BRneg,1.195
2025-01-06,3,BRpos,1.569
2025-01-06,3,BRneg,1.876
2025-01-06,4,BRpos,3.566
2025-01-06,4,BRneg,2.284
2025-01-06,5,BRpos,5.811
2025-01-06,5,BRneg,0.564
2025-01-06,6,BRpos,5.671
2025-01-06,6,BRneg,0.936
2025-01-06,7,BRpos,3.465
2025-01-06,7,BRneg,1.841
2025-01-06,8,BRpos,5.412
2025-01-06,8,BRneg,1.627
2025-01-06,9,BRpos,4.379
2025-01-06,9,BRneg,0.547
2025-01-06,10,BRpos,3.577
2025-01-06,10,BRneg,1.536
2025-01-06,11,BRpos,2.555
2025-01-06,11,BRneg,1.291
2025-01-06,12,BRpos,2.935
2025-01-06,12,BRneg,1.457
2025-01-06,13,BRpos,1.582
2025-01-06,13,BRneg,2.274
2025-01-06,14,BRpos,2.128
2025-01-06,14,BRneg,1.548
2025-01-06,15,BRpos,2.552
2025-01-06,15,BRneg,1.793
2025-01-06,16,BRpos,2.55
2025-01-06,16,BRneg,1.557
2025-01-06,17,BRpos,4.275
2025-01-06,17,BRneg,1.463
2025-01-06,18,BRpos,4.114
2025-01-06,18,BRneg,1.169
2025-01-06,19,BRpos,2.201
2025-01-06,19,BRneg,1.273
2025-01-06,20,BRpos,4.657
2025-01-06,20,BRneg,1.272
2025-01-06,21,BRpos,5.172
2025-01-06,21,BRneg,1.274
2025-01-06,22,BRpos,1.875
2025-01-06,22,BRneg,1.276
2025-01-06,23,BRpos,2.831
2025-01-06,23,BRneg,4.719
2025-01-06,24,BRpos,2.102
2025-01-06,24,BRneg,1.298
2025-01-06,25,BRpos,3.884
2025-01-06,25,BRneg,3.817
2025-01-06,26,BRpos,5.538
2025-01-06,26,BRneg,1.506
2025-01-06,27,BRpos,4.659
2025-01-06,27,BRneg,1.541
2025-01-06,28,BRpos,2.685
2025-01-06,28,BRneg,1.278
2025-01-06,29,BRpos,5.594
2025-01-06,29,BRneg,0.864
2025-01-06,30,BRpos,5.799
2025-01-06,30,BRneg,1.694
2025-01-06,31,BRpos,3.609
2025-01-06,31,BRneg,1.649
2025-01-06,32,BRpos,3.171
2025-01-06,32,BRneg,0.847
2025-01-06,33,BRpos,1.886
2025-01-06,33,BRneg,1.489
2025-01-06,34,BRpos,4.69
2025-01-06,34,BRneg,5.043
2025-01-06,35,BRpos,7.557
2025-01-06,35,BRneg,1.83
2025-01-06,36,BRpos,4.478
2025-01-06,36,BRneg,3.876
2025-01-06,37,BRpos,4.158
2025-01-06,37,BRneg,2.011
2025-01-06,38,BRpos,12.059
2025-01-06,38,BRneg,7.196
2025-01-06,39,BRpos,3.291
2025-01-06,39,BRneg,1.828
2025-01-06,40,BRpos,2.175
2025-01-06,40,BRneg,1.519
2025-01-06,41,BRpos,2.31
2025-01-06,41,BRneg,5.74
2025-01-06,42,BRpos,2.85
2025-01-06,42,BRneg,1.675
2025-01-06,43,BRpos,5.778
2025-01-06,43,BRneg,1.853
2025-01-06,44,BRpos,2.108
2025-01-06,44,BRneg,3.13
2025-01-06,45,BRpos,1.166
2025-01-06,45,BRneg,1.041
2025-01-06,46,BRpos,5.752
2025-01-06,46,BRneg,0.792
2025-01-06,47,BRpos,1.656
2025-01-06,47,BRneg,1.615
2025-01-06,48,BRpos,1.517
2025-01-06,48,BRneg,1.4
2025-01-07,1,BRpos,1.471
2025-01-07,1,BRneg,2.696
2025-01-07,2,BRpos,2.687
2025-01-07,2,BRneg,1.026
2025-01-07,3,BRpos,1.612
2025-01-07,3,BRneg,1.353
2025-01-07,4,BRpos,1.903
2025-01-07,4,BRneg,3.338
2025-01-07,5,BRpos,2.576
2025-01-07,5,BRneg,1.131
2025-01-07,6,BRpos,2.01
2025-01-07,6,BRneg,0.608
2025-01-07,7,BRpos,2.49
2025-01-07,7,BRneg,1.077
2025-01-07,8,BRpos,3.583
2025-01-07,8,BRneg,1.811
2025-01-07,9,BRpos,3.849
2025-01-07,9,BRneg,1.023
2025-01-07,10,BRpos,3.071
2025-01-07,10,BRneg,1.246
2025-01-07,11,BRpos,3.092
2025-01-07,11,BRneg,1.458
2025-01-07,12,BRpos,3.889
2025-01-07,12,BRneg,1.559
2025-01-07,13,BRpos,3.142
2025-01-07,13,BRneg,1.413
2025-01-07,14,BRpos,1.911
2025-01-07,14,BRneg,2.293
2025-01-07,15,BRpos,7.097
2025-01-07,15,BRneg,2.021
2025-01-07,16,BRpos,3.543
2025-01-07,16,BRneg,1.448
2025-01-07,17,BRpos,3.82
2025-01-07,17,BRneg,1.148
2025-01-07,18,BRpos,4.165
2025-01-07,18,BRneg,2.073
2025-01-07,19,BRpos,3.634
2025-01-07,19,BRneg,1.935
2025-01-07,20,BRpos,2.751
2025-01-07,20,BRneg,4.393
2025-01-07,21,BRpos,4.247
2025-01-07,21,BRneg,1.817
2025-01-07,22,BRpos,3.348
2025-01-07,22,BRneg,0.984
2025-01-07,23,BRpos,1.977
2025-01-07,23,BRneg,3.609
2025-01-07,24,BRpos,3.753
2025-01-07,24,BRneg,1.602
2025-01-07,25,BRpos,4.329
2025-01-07,25,BRneg,1.633
2025-01-07,26,BRpos,3.385
2025-01-07,26,BRneg,0.89
2025-01-07,27,BRpos,1.083
2025-01-07,27,BRneg,1.779
2025-01-07,28,BRpos,2.798
2025-01-07,28,BRneg,2.182
2025-01-07,29,BRpos,4.867
2025-01-07,29,BRneg,1.317
2025-01-07,30,BRpos,3.989
2025-01-07,30,BRneg,2.457
2025-01-07,31,BRpos,2.478
2025-01-07,31,BRneg,0.872
2025-01-07,32,BRpos,4.371
2025-01-07,32,BRneg,1.698
2025-01-07,33,BRpos,2.013
2025-01-07,33,BRneg,2.732
2025-01-07,34,BRpos,5.726
2025-01-07,34,BRneg,3.374
2025-01-07,35,BRpos,4.262
2025-01-07,35,BRneg,1.587
2025-01-07,36,BRpos,6.32
2025-01-07,36,BRneg,3.079
2025-01-07,37,BRpos,8.627
2025-01-07,37,BRneg,2.558
2025-01-07,38,BRpos,4.792
2025-01-07,38,BRneg,1.378
2025-01-07,39,BRpos,5.733
2025-01-07,39,BRneg,1.455
2025-01-07,40,BRpos,1.324
2025-01-07,40,BRneg,1.074
2025-01-07,41,BRpos,2.079
2025-01-07,41,BRneg,1.742
2025-01-07,42,BRpos,3.347
2025-01-07,42,BRneg,1.314
2025-01-07,43,BRpos,3.814
2025-01-07,43,BRneg,2.153
2025-01-07,44,BRpos,3.645
2025-01-07,44,BRneg,2.309
2025-01-07,45,BRpos,1.548
2025-01-07,45,BRneg,3.248
2025-01-07,46,BRpos,2.534
2025-01-07,46,BRneg,2.296
2025-01-07,47,BRpos,6.562
2025-01-07,47,BRneg,1.012
2025-01-07,48,BRpos,4.164
2025-01-07,48,BRneg,2.028
2025-01-08,1,BRpos,2.328
2025-01-08,1,BRneg,1.415
2025-01-08,2,BRpos,1.867
2025-01-08,2,BRneg,2.48
2025-01-08,3,BRpos,1.715
2025-01-08,3,BRneg,1.161
2025-01-08,4,BRpos,2.192
2025-01-08,4,BRneg,1.562
2025-01-08,5,BRpos,5.565
2025-01-08,5,BRneg,0.953
2025-01-08,6,BRpos,5.694
2025-01-08,6,BRneg,2.079
2025-01-08,7,BRpos,3.719
2025-01-08,7,BRneg,1.486
2025-01-08,8,BRpos,4.596
2025-01-08,8,BRneg,1.473
2025-01-08,9,BRpos,4.215
2025-01-08,9,BRneg,0.993
2025-01-08,10,BRpos,3.7
2025-01-08,10,BRneg,0.409
2025-01-08,11,BRpos,2.733
2025-01-08,11,BRneg,0.664
2025-01-08,12,BRpos,5.746
2025-01-08,12,BRneg,1.838
2025-01-08,13,BRpos,4.784
2025-01-08,13,BRneg,4.522
2025-01-08,14,BRpos,4.273
2025-01-08,14,BRneg,2.712
2025-01-08,15,BRpos,5.903
2025-01-08,15,BRneg,2.463
2025-01-08,16,BRpos,2.781
2025-01-08,16,BRneg,1.414
2025-01-08,17,BRpos,1.008
2025-01-08,17,BRneg,1.334
2025-01-08,18,BRpos,8.35
2025-01-08,18,BRneg,1.632
2025-01-08,19,BRpos,5.069
2025-01-08,19,BRneg,1.84
2025-01-08,20,BRpos,4.369
2025-01-08,20,BRneg,1.913
2025-01-08,21,BRpos,9.552
2025-01-08,21,BRneg,1.437
2025-01-08,22,BRpos,5.838
2025-01-08,22,BRneg,1.631
2025-01-08,23,BRpos,1.287
2025-01-08,23,BRneg,3.144
2025-01-08,24,BRpos,2.329
2025-01-08,24,BRneg,0.807
2025-01-08,25,BRpos,2.801
2025-01-08,25,BRneg,1.686
2025-01-08,26,BRpos,5.605
2025-01-08,26,BRneg,2.372
2025-01-08,27,BRpos,1.386
2025-01-08,27,BRneg,1.491
2025-01-08,28,BRpos,3.228
2025-01-08,28,BRneg,1.189
2025-01-08,29,BRpos,4.686
2025-01-08,29,BRneg,2.146
2025-01-08,30,BRpos,2.05
2025-01-08,30,BRneg,0.607
2025-01-08,31,BRpos,6.022
2025-01-08,31,BRneg,3.291
2025-01-08,32,BRpos,2.983
2025-01-08,32,BRneg,2.014
2025-01-08,33,BRpos,5.784
2025-01-08,33,BRneg,1.363
2025-01-08,34,BRpos,3.408
2025-01-08,34,BRneg,2.332
2025-01-08,35,BRpos,4.767
2025-01-08,35,BRneg,0.866
2025-01-08,36,BRpos,5.7
2025-01-08,36,BRneg,2.497
2025-01-08,37,BRpos,2.805
2025-01-08,37,BRneg,2.057
2025-01-08,38,BRpos,2.711
2025-01-08,38,BRneg,3.508
2025-01-08,39,BRpos,2.314
2025-01-08,39,BRneg,3.567
2025-01-08,40,BRpos,2.344
2025-01-08,40,BRneg,0.963
2025-01-08,41,BRpos,2.615
2025-01-08,41,BRneg,2.115
2025-01-08,42,BRpos,3.966
2025-01-08,42,BRneg,1.185
2025-01-08,43,BRpos,2.367
2025-01-08,43,BRneg,0.773
2025-01-08,44,BRpos,1.202
2025-01-08,44,BRneg,1.275
2025-01-08,45,BRpos,1.624
2025-01-08,45,BRneg,0.848
2025-01-08,46,BRpos,2.499
2025-01-08,46,BRneg,1.221
2025-01-08,47,BRpos,1.513
2025-01-08,47,BRneg,1.43
2025-01-08,48,BRpos,3.657
2025-01-08,48,BRneg,2.703
2025-01-09,1,BRpos,2.876
2025-01-09,1,BRneg,0.635
2025-01-09,2,BRpos,1.359
2025-01-09,2,BRneg,2.368
2025-01-09,3,BRpos,4.109
2025-01-09,3,BRneg,1.657
2025-01-09,4,BRpos,5.823
